palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-ZJXKZLCP,5/2 [2],Thon Entier à l'Huile,3002,2026-01-08 18:01:11,production-day-2026-01-08.xlsx
PAL-XBXA1GUB,1/5,Thon Emietté à l'Huile,3002,2026-01-08 11:44:25,production-day-2026-01-08.xlsx
PAL-MH0064R0,5/2 [1],Thon en Morceaux au Naturel,3003,2026-01-08 14:25:04,production-day-2026-01-08.xlsx
PAL-KTXA0KIS,400,Thon Entier à l'Huile,3001,2026-01-08 17:55:54,production-day-2026-01-08.xlsx
PAL-GS9DH8FC,5/2 [2],Thon Emietté à l'Huile,3001,2026-01-08 19:29:56,production-day-2026-01-08.xlsx
PAL-R1QQ02PW,400,Thon Emietté à l'Huile,3002,2026-01-08 09:56:30,production-day-2026-01-08.xlsx
PAL-S8J5PJ8U,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-08 17:25:46,production-day-2026-01-08.xlsx
PAL-JHT3IMET,5/2 [2],Thon Entier au Naturel,3003,2026-01-08 15:06:20,production-day-2026-01-08.xlsx
PAL-EA40MBWW,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-01-08 14:39:04,production-day-2026-01-08.xlsx
PAL-K808KJOX,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-08 09:47:59,production-day-2026-01-08.xlsx
PAL-KXKD6PSY,1/5,Thon en Morceaux au Naturel,3002,2026-01-08 13:33:46,production-day-2026-01-08.xlsx
PAL-9H6LFB58,5/2 [2],Thon Entier à l'Huile,3003,2026-01-08 16:27:48,production-day-2026-01-08.xlsx
PAL-G0UETJKX,Manuel,Thon Entier au Naturel,3003,2026-01-08 12:05:20,production-day-2026-01-08.xlsx
PAL-ZUY75FZO,5/2 [2],Thon Emietté à la Tomate,3002,2026-01-08 11:12:13,production-day-2026-01-08.xlsx
PAL-YMUMTKS9,1/5,Thon Emietté à la Tomate,3001,2026-01-08 09:49:31,production-day-2026-01-08.xlsx
PAL-PC45ZL2B,5/2 [1],Thon Emietté à la Tomate,3001,2026-01-08 16:06:59,production-day-2026-01-08.xlsx
PAL-C4EXGFEH,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-08 14:56:36,production-day-2026-01-08.xlsx
PAL-FZZG1F65,Manuel,Thon Entier à l'Huile,3001,2026-01-08 13:22:23,production-day-2026-01-08.xlsx
PAL-C5W77JIE,5/2 [1],Thon Entier à l'Huile,3003,2026-01-08 15:02:52,production-day-2026-01-08.xlsx
PAL-FV0E5NHE,Manuel,Thon Entier au Naturel,3003,2026-01-08 18:53:27,production-day-2026-01-08.xlsx
PAL-1QS56KXU,Manuel,Thon Entier à l'Huile,3001,2026-01-08 11:22:48,production-day-2026-01-08.xlsx
PAL-UDH9G5K0,5/2 [1],Thon Entier au Naturel,3003,2026-01-08 18:04:17,production-day-2026-01-08.xlsx
PAL-UEIMWM3R,5/2 [1],Thon en Morceaux au Naturel,3003,2026-01-08 11:03:20,production-day-2026-01-08.xlsx
PAL-EGJ5ONV0,5/2 [1],Thon Emietté à l'Huile,3002,2026-01-08 12:34:25,production-day-2026-01-08.xlsx
PAL-IXALGTSK,1/5,Thon Entier à l'Huile,3003,2026-01-08 11:56:16,production-day-2026-01-08.xlsx
PAL-H0CX07CE,5/2 [1],Thon Entier au Naturel,3001,2026-01-08 12:42:03,production-day-2026-01-08.xlsx
PAL-BSG5FS09,5/2 [1],Thon en Morceaux au Naturel,3001,2026-01-08 17:31:25,production-day-2026-01-08.xlsx
PAL-DEAZBV6T,5/2 [2],Thon Emietté à la Tomate,3002,2026-01-08 13:02:09,production-day-2026-01-08.xlsx
PAL-1A2CF2LX,400,Thon en Morceaux à l'Huile,3003,2026-01-08 16:14:25,production-day-2026-01-08.xlsx
PAL-4ZMEJGVX,5/2 [2],Thon Entier au Naturel,3001,2026-01-08 13:58:51,production-day-2026-01-08.xlsx
PAL-2N5BTN0J,Manuel,Thon en Morceaux au Naturel,3001,2026-01-08 16:53:42,production-day-2026-01-08.xlsx
PAL-X02CZ4NE,5/2 [1],Thon Entier au Naturel,3002,2026-01-08 11:06:07,production-day-2026-01-08.xlsx
PAL-70FHBGJP,1/5,Thon en Morceaux au Naturel,3001,2026-01-08 15:44:44,production-day-2026-01-08.xlsx
PAL-9L6CMVS2,1/5,Thon Entier à l'Huile,3003,2026-01-08 11:52:31,production-day-2026-01-08.xlsx
PAL-T92E1DDD,400,Thon Emietté à la Tomate,3003,2026-01-08 12:13:50,production-day-2026-01-08.xlsx
PAL-JQJD2MC9,400,Thon en Morceaux à l'Huile,3003,2026-01-08 18:34:13,production-day-2026-01-08.xlsx
PAL-JYTYBBDI,5/2 [1],Thon Emietté à la Tomate,3001,2026-01-08 13:03:19,production-day-2026-01-08.xlsx
