palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-Z1X844QD,5/2 [2],Thon Entier au Naturel,3002,2025-12-19 13:27:05,production-day-2025-12-19.xlsx
PAL-OXH0WNEZ,5/2 [1],Thon Emietté à la Tomate,3001,2025-12-19 17:28:06,production-day-2025-12-19.xlsx
PAL-4ESQ0IL9,Manuel,Thon Emietté à l'Huile,3003,2025-12-19 10:40:35,production-day-2025-12-19.xlsx
PAL-I957TA9A,5/2 [1],Thon en Morceaux à l'Huile,3002,2025-12-19 18:10:53,production-day-2025-12-19.xlsx
PAL-WWF34JJG,5/2 [1],Thon Entier au Naturel,3003,2025-12-19 14:16:54,production-day-2025-12-19.xlsx
PAL-BA7URYSQ,5/2 [2],Thon Emietté à l'Huile,3002,2025-12-19 16:09:16,production-day-2025-12-19.xlsx
PAL-5QI5BEGU,Manuel,Thon en Morceaux à l'Huile,3003,2025-12-19 13:52:10,production-day-2025-12-19.xlsx
PAL-S7TKUA6M,Manuel,Thon Entier au Naturel,3001,2025-12-19 18:21:26,production-day-2025-12-19.xlsx
PAL-YFVGE1BF,Manuel,Thon Entier au Naturel,3001,2025-12-19 12:23:12,production-day-2025-12-19.xlsx
PAL-U8I8TB9F,1/5,Thon Entier au Naturel,3002,2025-12-19 12:24:58,production-day-2025-12-19.xlsx
PAL-Z11R2X7N,5/2 [2],Thon Entier au Naturel,3002,2025-12-19 09:13:09,production-day-2025-12-19.xlsx
PAL-KY27SDC1,5/2 [1],Thon en Morceaux à l'Huile,3002,2025-12-19 12:17:31,production-day-2025-12-19.xlsx
PAL-0ZKCJQ7A,400,Thon Entier au Naturel,3001,2025-12-19 11:22:20,production-day-2025-12-19.xlsx
PAL-TZGLQZ1M,5/2 [2],Thon Entier au Naturel,3002,2025-12-19 18:27:35,production-day-2025-12-19.xlsx
PAL-QKZK4NEC,5/2 [2],Thon Entier au Naturel,3002,2025-12-19 14:55:01,production-day-2025-12-19.xlsx
PAL-2Q9OA5R2,5/2 [2],Thon en Morceaux au Naturel,3001,2025-12-19 15:07:08,production-day-2025-12-19.xlsx
PAL-01FPY9LE,5/2 [2],Thon Emietté à l'Huile,3002,2025-12-19 17:20:40,production-day-2025-12-19.xlsx
PAL-0TZDL6RB,5/2 [2],Thon en Morceaux au Naturel,3002,2025-12-19 11:31:50,production-day-2025-12-19.xlsx
PAL-S9LUKVTG,5/2 [2],Thon en Morceaux à l'Huile,3002,2025-12-19 12:59:36,production-day-2025-12-19.xlsx
PAL-KXHMSN48,Manuel,Thon en Morceaux au Naturel,3002,2025-12-19 11:12:58,production-day-2025-12-19.xlsx
PAL-FSY7XVP3,5/2 [1],Thon Entier à l'Huile,3001,2025-12-19 08:57:09,production-day-2025-12-19.xlsx
PAL-XPBCE2NE,5/2 [2],Thon Emietté à l'Huile,3003,2025-12-19 08:57:09,production-day-2025-12-19.xlsx
PAL-EHFWACL5,Manuel,Thon en Morceaux au Naturel,3003,2025-12-19 13:46:52,production-day-2025-12-19.xlsx
PAL-6WPP7MV7,400,Thon Entier à l'Huile,3003,2025-12-19 13:41:38,production-day-2025-12-19.xlsx
PAL-58GXRS66,1/5,Thon Entier à l'Huile,3003,2025-12-19 10:29:20,production-day-2025-12-19.xlsx
PAL-V4GI1YSW,5/2 [1],Thon Emietté à la Tomate,3001,2025-12-19 19:57:20,production-day-2025-12-19.xlsx
PAL-WV14X96A,Manuel,Thon Entier au Naturel,3003,2025-12-19 10:24:09,production-day-2025-12-19.xlsx
PAL-FCYQ13Z2,5/2 [1],Thon Entier au Naturel,3003,2025-12-19 15:03:41,production-day-2025-12-19.xlsx
