palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-H6OLGNQD,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-13 12:12:56,production-day-2026-02-13.xlsx
PAL-R5TDT3V6,5/2 [2],Thon Entier au Naturel,3002,2026-02-13 17:19:52,production-day-2026-02-13.xlsx
PAL-F3I0JN1Y,5/2 [1],Thon Entier au Naturel,3003,2026-02-13 15:51:17,production-day-2026-02-13.xlsx
PAL-CTV425L7,5/2 [1],Thon Emietté à l'Huile,3001,2026-02-13 19:03:18,production-day-2026-02-13.xlsx
PAL-SX561OE2,5/2 [2],Thon Entier à l'Huile,3002,2026-02-13 17:35:11,production-day-2026-02-13.xlsx
PAL-JFGL0TAM,5/2 [1],Thon Entier au Naturel,3001,2026-02-13 13:30:23,production-day-2026-02-13.xlsx
PAL-C8YUTQFD,5/2 [1],Thon Entier au Naturel,3002,2026-02-13 13:27:06,production-day-2026-02-13.xlsx
PAL-SJMCZYAS,1/5,Thon Emietté à l'Huile,3003,2026-02-13 17:56:36,production-day-2026-02-13.xlsx
PAL-56NE11I3,5/2 [2],Thon en Morceaux au Naturel,3001,2026-02-13 16:18:37,production-day-2026-02-13.xlsx
PAL-6FAS81W9,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-02-13 11:43:07,production-day-2026-02-13.xlsx
PAL-889W3DF5,400,Thon Entier à l'Huile,3001,2026-02-13 16:21:19,production-day-2026-02-13.xlsx
PAL-3FOIO1OF,Manuel,Thon Entier au Naturel,3003,2026-02-13 14:16:48,production-day-2026-02-13.xlsx
PAL-L3OTQ93B,1/5,Thon en Morceaux au Naturel,3001,2026-02-13 13:19:04,production-day-2026-02-13.xlsx
PAL-80NRVG95,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-02-13 12:01:58,production-day-2026-02-13.xlsx
PAL-P3GN80AO,Manuel,Thon Entier au Naturel,3001,2026-02-13 13:01:45,production-day-2026-02-13.xlsx
PAL-UT69YXC2,5/2 [2],Thon Entier à l'Huile,3002,2026-02-13 12:52:38,production-day-2026-02-13.xlsx
PAL-K5G31PNP,400,Thon Entier au Naturel,3003,2026-02-13 18:45:33,production-day-2026-02-13.xlsx
PAL-UY8QVWD6,400,Thon Emietté à la Tomate,3001,2026-02-13 13:55:37,production-day-2026-02-13.xlsx
PAL-9SSAV2GA,5/2 [1],Thon Emietté à la Tomate,3003,2026-02-13 16:22:07,production-day-2026-02-13.xlsx
