parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-117,1,Morcelé,339.21,I,25,2025-12-18 07:08:57,2025-12-18 16:52:55,SENT_TO_LIGNE,1002,2002,2005,2005,2002,production-day-2025-12-18.xlsx
PRG-894,2,CB Simple parage,254.1,D,19,2025-12-18 07:14:52,2025-12-18 09:23:25,SENT_TO_LIGNE,1001,2005,2004,2004,2005,production-day-2025-12-18.xlsx
PRG-908,3,CB Simple parage,329.74,B,34,2025-12-18 06:14:26,2025-12-18 12:24:47,SENT_TO_LIGNE,1001,2004,2002,2003,2005,production-day-2025-12-18.xlsx
PRG-606,4,CB Simple parage,389.14,F,3,2025-12-18 06:56:49,2025-12-18 11:49:06,SENT_TO_LIGNE,1002,2003,2005,2001,2004,production-day-2025-12-18.xlsx
PRG-674,5,CB Simple parage,213.24,C,35,2025-12-18 06:44:21,2025-12-18 09:24:05,SENT_TO_LIGNE,1001,2002,2002,2005,2001,production-day-2025-12-18.xlsx
PRG-780,6,CB Double parage,240.58,D,7,2025-12-18 07:16:15,2025-12-18 12:58:39,SENT_TO_LIGNE,1003,2001,2001,2001,2001,production-day-2025-12-18.xlsx
PRG-745,7,Morcelé,313.84,D,36,2025-12-18 06:26:05,2025-12-18 14:43:19,SENT_TO_LIGNE,1003,2005,2004,2002,2003,production-day-2025-12-18.xlsx
PRG-421,8,CB Simple parage,192.69,E,10,2025-12-18 06:10:32,2025-12-18 12:35:26,SENT_TO_LIGNE,1001,2003,2003,2004,2004,production-day-2025-12-18.xlsx
PRG-731,9,CB Simple parage,380.68,G,28,2025-12-18 09:54:35,2025-12-18 16:02:52,SENT_TO_LIGNE,1002,2005,2005,2002,2005,production-day-2025-12-18.xlsx
PRG-984,10,CB Simple parage,261.37,I,21,2025-12-18 07:21:26,2025-12-18 15:29:29,SENT_TO_LIGNE,1003,2004,2002,2005,2001,production-day-2025-12-18.xlsx
PRG-758,11,CB Simple parage,182.54,H,16,2025-12-18 07:51:30,2025-12-18 17:03:15,SENT_TO_LIGNE,1002,2004,2004,2001,2002,production-day-2025-12-18.xlsx
PRG-639,12,Longe précuit,251.44,H,31,2025-12-18 09:57:51,2025-12-18 15:27:12,SENT_TO_LIGNE,1003,2002,2002,2003,2001,production-day-2025-12-18.xlsx
PRG-817,13,CB Simple parage,296.48,E,29,2025-12-18 09:17:24,2025-12-18 11:18:30,SENT_TO_LIGNE,1003,2002,2004,2003,2004,production-day-2025-12-18.xlsx
PRG-346,14,CB Double parage,323.51,A,28,2025-12-18 09:15:44,2025-12-18 15:26:05,SENT_TO_LIGNE,1003,2005,2002,2004,2002,production-day-2025-12-18.xlsx
PRG-102,15,CB Simple parage,448.44,D,32,2025-12-18 08:31:26,2025-12-18 17:41:18,SENT_TO_LIGNE,1001,2003,2004,2001,2003,production-day-2025-12-18.xlsx
PRG-104,16,Miette,290.67,I,22,2025-12-18 09:18:47,2025-12-18 12:20:29,SENT_TO_LIGNE,1001,2004,2001,2004,2004,production-day-2025-12-18.xlsx
