parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-187,1,Morcelé,193.88,D,20,2025-12-09 09:38:56,2025-12-09 19:00:40,SENT_TO_LIGNE,1002,2002,2005,2001,2004,production-day-2025-12-09.xlsx
PRG-236,2,Morcelé,290.78,F,36,2025-12-09 08:28:28,2025-12-09 17:56:49,SENT_TO_LIGNE,1002,2002,2004,2004,2001,production-day-2025-12-09.xlsx
PRG-985,3,Longe précuit,334.19,D,3,2025-12-09 08:33:38,2025-12-09 13:37:03,SENT_TO_LIGNE,1002,2005,2003,2002,2005,production-day-2025-12-09.xlsx
PRG-967,4,Longe précuit,311.12,E,24,2025-12-09 07:50:22,2025-12-09 16:52:16,SENT_TO_LIGNE,1002,2003,2003,2005,2003,production-day-2025-12-09.xlsx
PRG-341,5,CB Simple parage,330.72,A,14,2025-12-09 09:10:02,2025-12-09 15:17:51,SENT_TO_LIGNE,1001,2001,2005,2002,2005,production-day-2025-12-09.xlsx
PRG-694,6,CB Double parage,407.88,C,9,2025-12-09 09:33:13,2025-12-09 16:46:46,SENT_TO_LIGNE,1001,2004,2003,2004,2004,production-day-2025-12-09.xlsx
PRG-123,7,CB Simple parage,381.89,A,22,2025-12-09 07:23:48,2025-12-09 11:42:34,SENT_TO_LIGNE,1002,2003,2002,2002,2001,production-day-2025-12-09.xlsx
PRG-545,8,CB Simple parage,444.67,E,4,2025-12-09 08:05:15,2025-12-09 15:09:37,SENT_TO_LIGNE,1003,2004,2003,2005,2003,production-day-2025-12-09.xlsx
PRG-526,9,Miette,428.77,C,23,2025-12-09 08:34:12,2025-12-09 15:00:42,SENT_TO_LIGNE,1002,2004,2003,2002,2001,production-day-2025-12-09.xlsx
PRG-191,10,Miette,234.18,I,33,2025-12-09 08:06:19,2025-12-09 14:48:56,SENT_TO_LIGNE,1003,2001,2003,2002,2005,production-day-2025-12-09.xlsx
PRG-207,11,Morcelé,181.83,G,31,2025-12-09 07:55:13,2025-12-09 15:49:47,SENT_TO_LIGNE,1001,2003,2004,2005,2002,production-day-2025-12-09.xlsx
PRG-913,12,CB Simple parage,409.95,B,13,2025-12-09 06:23:59,2025-12-09 13:17:20,SENT_TO_LIGNE,1003,2001,2001,2003,2003,production-day-2025-12-09.xlsx
PRG-432,13,CB Simple parage,409.59,E,8,2025-12-09 06:56:11,2025-12-09 09:36:51,SENT_TO_LIGNE,1001,2005,2002,2003,2004,production-day-2025-12-09.xlsx
PRG-852,14,Miette,354.72,B,20,2025-12-09 08:19:57,2025-12-09 16:57:44,SENT_TO_LIGNE,1001,2003,2001,2004,2005,production-day-2025-12-09.xlsx
PRG-622,15,CB Simple parage,365.56,E,16,2025-12-09 09:59:13,2025-12-09 14:47:03,SENT_TO_LIGNE,1001,2001,2001,2005,2003,production-day-2025-12-09.xlsx
PRG-872,16,Longe précuit,272.91,D,20,2025-12-09 07:40:05,2025-12-09 10:08:39,SENT_TO_LIGNE,1002,2004,2002,2001,2004,production-day-2025-12-09.xlsx
PRG-611,17,CT simple parage,221.63,E,36,2025-12-09 09:45:03,2025-12-09 17:54:40,SENT_TO_LIGNE,1001,2003,2003,2004,2003,production-day-2025-12-09.xlsx
PRG-208,18,CT simple parage,289.02,C,11,2025-12-09 07:41:50,2025-12-09 16:23:43,SENT_TO_LIGNE,1002,2005,2001,2003,2003,production-day-2025-12-09.xlsx
PRG-241,19,CB Simple parage,412.75,C,18,2025-12-09 06:51:26,2025-12-09 09:37:07,SENT_TO_LIGNE,1003,2003,2003,2004,2004,production-day-2025-12-09.xlsx
PRG-920,20,CB Simple parage,348.08,A,34,2025-12-09 09:09:48,2025-12-09 13:51:10,SENT_TO_LIGNE,1003,2004,2002,2004,2002,production-day-2025-12-09.xlsx
PRG-140,21,Miette,259.93,C,17,2025-12-09 06:29:50,2025-12-09 11:55:21,SENT_TO_LIGNE,1001,2004,2002,2002,2001,production-day-2025-12-09.xlsx
PRG-517,22,Morcelé,332.81,A,3,2025-12-09 08:00:28,2025-12-09 12:38:07,SENT_TO_LIGNE,1002,2005,2004,2001,2003,production-day-2025-12-09.xlsx
PRG-330,23,Morcelé,274.86,H,3,2025-12-09 08:45:28,2025-12-09 17:55:34,SENT_TO_LIGNE,1001,2004,2003,2005,2001,production-day-2025-12-09.xlsx
PRG-593,24,CB Simple parage,344.64,G,27,2025-12-09 09:04:33,2025-12-09 13:48:40,SENT_TO_LIGNE,1001,2003,2004,2001,2004,production-day-2025-12-09.xlsx
PRG-826,25,CB Simple parage,283.01,C,11,2025-12-09 07:06:14,2025-12-09 10:17:51,SENT_TO_LIGNE,1003,2002,2003,2004,2005,production-day-2025-12-09.xlsx
PRG-642,26,CB Simple parage,356.17,B,2,2025-12-09 08:26:46,2025-12-09 11:12:54,SENT_TO_LIGNE,1003,2004,2001,2004,2004,production-day-2025-12-09.xlsx
PRG-696,27,CT simple parage,247.05,B,12,2025-12-09 07:13:34,2025-12-09 14:16:06,SENT_TO_LIGNE,1002,2003,2004,2001,2002,production-day-2025-12-09.xlsx
PRG-917,28,Morcelé,380.98,G,35,2025-12-09 09:30:31,2025-12-09 18:32:00,SENT_TO_LIGNE,1003,2003,2002,2004,2005,production-day-2025-12-09.xlsx
PRG-752,29,CB Simple parage,370.25,H,9,2025-12-09 09:19:49,2025-12-09 15:05:23,SENT_TO_LIGNE,1003,2004,2001,2002,2003,production-day-2025-12-09.xlsx
PRG-824,30,CB Simple parage,352.57,G,29,2025-12-09 06:57:50,2025-12-09 14:48:00,SENT_TO_LIGNE,1001,2003,2002,2004,2003,production-day-2025-12-09.xlsx
