palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-W71BW1SZ,5/2 [1],Thon Emietté à l'Huile,3001,2025-12-10 13:31:09,production-day-2025-12-10.xlsx
PAL-994ZF9H1,5/2 [2],Thon Entier au Naturel,3002,2025-12-10 17:28:04,production-day-2025-12-10.xlsx
PAL-BHNSTG0T,5/2 [2],Thon en Morceaux au Naturel,3002,2025-12-10 15:52:40,production-day-2025-12-10.xlsx
PAL-ZFZ5QYKS,Manuel,Thon Entier au Naturel,3001,2025-12-10 17:47:08,production-day-2025-12-10.xlsx
PAL-HTFM2NUE,5/2 [2],Thon en Morceaux au Naturel,3003,2025-12-10 11:15:00,production-day-2025-12-10.xlsx
PAL-AFBIDMLF,1/5,Thon Entier à l'Huile,3003,2025-12-10 17:55:12,production-day-2025-12-10.xlsx
PAL-SJUYG18G,5/2 [1],Thon Entier au Naturel,3003,2025-12-10 11:07:32,production-day-2025-12-10.xlsx
PAL-EFB38JA7,400,Thon Entier à l'Huile,3003,2025-12-10 10:41:15,production-day-2025-12-10.xlsx
PAL-IXUHKHZX,5/2 [1],Thon Emietté à la Tomate,3001,2025-12-10 19:07:34,production-day-2025-12-10.xlsx
PAL-A2AAB07M,5/2 [2],Thon Entier au Naturel,3001,2025-12-10 14:26:53,production-day-2025-12-10.xlsx
PAL-ZUBHTMB0,5/2 [2],Thon Emietté à la Tomate,3002,2025-12-10 11:08:30,production-day-2025-12-10.xlsx
PAL-Z9LW3MDW,400,Thon Emietté à la Tomate,3003,2025-12-10 16:24:29,production-day-2025-12-10.xlsx
PAL-59YKA2TY,5/2 [2],Thon en Morceaux à l'Huile,3002,2025-12-10 16:24:08,production-day-2025-12-10.xlsx
PAL-8QBSUG3Z,5/2 [1],Thon en Morceaux au Naturel,3001,2025-12-10 16:15:22,production-day-2025-12-10.xlsx
PAL-0A6KU6JC,1/5,Thon Entier à l'Huile,3003,2025-12-10 18:07:29,production-day-2025-12-10.xlsx
PAL-68885NHK,5/2 [1],Thon en Morceaux à l'Huile,3003,2025-12-10 13:46:15,production-day-2025-12-10.xlsx
PAL-S2K5DC8E,5/2 [1],Thon Entier à l'Huile,3001,2025-12-10 11:56:17,production-day-2025-12-10.xlsx
PAL-7IL1ZQ42,5/2 [2],Thon Entier au Naturel,3001,2025-12-10 18:42:07,production-day-2025-12-10.xlsx
PAL-L629LASV,5/2 [2],Thon en Morceaux à l'Huile,3003,2025-12-10 10:37:59,production-day-2025-12-10.xlsx
PAL-WYERQQXA,5/2 [1],Thon Emietté à la Tomate,3003,2025-12-10 14:53:58,production-day-2025-12-10.xlsx
PAL-8PNVF1E0,5/2 [1],Thon Emietté à l'Huile,3002,2025-12-10 16:50:26,production-day-2025-12-10.xlsx
PAL-MYAEN4UE,5/2 [1],Thon Emietté à l'Huile,3002,2025-12-10 15:06:41,production-day-2025-12-10.xlsx
PAL-RUUE7O6M,1/5,Thon en Morceaux au Naturel,3002,2025-12-10 19:07:41,production-day-2025-12-10.xlsx
