parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-674,1,CT simple parage,350.29,A,9,2026-01-13 06:20:58,2026-01-13 12:40:34,SENT_TO_LIGNE,1002,2002,2005,2003,2005,production-day-2026-01-13.xlsx
PRG-660,2,CB Simple parage,341.49,G,6,2026-01-13 07:18:08,2026-01-13 11:55:08,SENT_TO_LIGNE,1001,2005,2001,2003,2005,production-day-2026-01-13.xlsx
PRG-948,3,CB Double parage,220.27,B,33,2026-01-13 06:51:09,2026-01-13 14:52:15,SENT_TO_LIGNE,1003,2002,2004,2001,2003,production-day-2026-01-13.xlsx
PRG-447,4,CB Simple parage,299.74,F,3,2026-01-13 08:21:58,2026-01-13 18:21:37,SENT_TO_LIGNE,1001,2003,2002,2002,2004,production-day-2026-01-13.xlsx
PRG-650,5,Morcelé,387.64,C,27,2026-01-13 08:24:20,2026-01-13 17:20:51,SENT_TO_LIGNE,1001,2003,2002,2004,2001,production-day-2026-01-13.xlsx
PRG-772,6,Longe précuit,447.02,E,22,2026-01-13 07:14:25,2026-01-13 10:15:27,SENT_TO_LIGNE,1001,2003,2004,2005,2004,production-day-2026-01-13.xlsx
PRG-852,7,Miette,199.13,D,16,2026-01-13 06:33:53,2026-01-13 08:50:51,SENT_TO_LIGNE,1002,2001,2002,2001,2001,production-day-2026-01-13.xlsx
PRG-969,8,Morcelé,187.52,I,3,2026-01-13 06:24:21,2026-01-13 11:46:02,SENT_TO_LIGNE,1003,2003,2002,2002,2003,production-day-2026-01-13.xlsx
PRG-551,9,CT simple parage,328.02,F,31,2026-01-13 09:12:28,2026-01-13 17:40:26,SENT_TO_LIGNE,1001,2005,2004,2004,2004,production-day-2026-01-13.xlsx
PRG-461,10,CB Simple parage,304.86,E,36,2026-01-13 06:14:21,2026-01-13 08:18:42,SENT_TO_LIGNE,1002,2003,2002,2001,2003,production-day-2026-01-13.xlsx
PRG-496,11,CB Simple parage,258.4,E,5,2026-01-13 06:04:55,2026-01-13 10:28:51,SENT_TO_LIGNE,1001,2004,2004,2005,2001,production-day-2026-01-13.xlsx
PRG-229,12,CB Double parage,444.9,B,13,2026-01-13 09:27:24,2026-01-13 18:24:20,SENT_TO_LIGNE,1003,2003,2003,2004,2005,production-day-2026-01-13.xlsx
PRG-601,13,Morcelé,247.01,I,10,2026-01-13 08:10:47,2026-01-13 17:19:05,SENT_TO_LIGNE,1001,2005,2001,2002,2003,production-day-2026-01-13.xlsx
PRG-322,14,Morcelé,342.11,C,30,2026-01-13 06:19:01,2026-01-13 08:26:12,SENT_TO_LIGNE,1002,2005,2005,2003,2005,production-day-2026-01-13.xlsx
PRG-461,15,Miette,299.7,H,2,2026-01-13 07:54:11,2026-01-13 13:02:16,SENT_TO_LIGNE,1003,2005,2003,2004,2003,production-day-2026-01-13.xlsx
PRG-378,16,CB Simple parage,325.42,H,13,2026-01-13 09:50:31,2026-01-13 12:55:49,SENT_TO_LIGNE,1002,2005,2001,2005,2003,production-day-2026-01-13.xlsx
PRG-734,17,Longe précuit,410.21,F,35,2026-01-13 07:35:11,2026-01-13 13:30:04,SENT_TO_LIGNE,1002,2005,2005,2002,2003,production-day-2026-01-13.xlsx
PRG-224,18,CB Simple parage,304.03,C,29,2026-01-13 08:11:56,2026-01-13 17:50:19,SENT_TO_LIGNE,1003,2001,2001,2005,2005,production-day-2026-01-13.xlsx
PRG-701,19,CB Simple parage,409.59,B,5,2026-01-13 06:55:14,2026-01-13 12:32:45,SENT_TO_LIGNE,1003,2003,2001,2004,2004,production-day-2026-01-13.xlsx
PRG-754,20,CB Simple parage,346.53,I,11,2026-01-13 08:33:11,2026-01-13 11:33:13,SENT_TO_LIGNE,1002,2004,2002,2003,2004,production-day-2026-01-13.xlsx
PRG-675,21,Morcelé,361.63,I,32,2026-01-13 08:20:32,2026-01-13 17:16:17,SENT_TO_LIGNE,1002,2001,2004,2001,2005,production-day-2026-01-13.xlsx
PRG-386,22,CB Simple parage,427.06,G,18,2026-01-13 06:26:45,2026-01-13 12:37:48,SENT_TO_LIGNE,1001,2001,2005,2003,2001,production-day-2026-01-13.xlsx
PRG-139,23,CB Double parage,364.2,D,2,2026-01-13 08:10:56,2026-01-13 10:39:51,SENT_TO_LIGNE,1002,2004,2001,2003,2002,production-day-2026-01-13.xlsx
