parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-127,1,Morcelé,367.44,A,36,2025-12-11 06:04:01,2025-12-11 13:38:27,SENT_TO_LIGNE,1002,2002,2001,2003,2004,production-day-2025-12-11.xlsx
PRG-419,2,Longe précuit,356.72,A,12,2025-12-11 06:23:32,2025-12-11 15:58:57,SENT_TO_LIGNE,1003,2004,2005,2004,2003,production-day-2025-12-11.xlsx
PRG-701,3,Longe précuit,305.39,I,33,2025-12-11 08:51:54,2025-12-11 18:47:10,SENT_TO_LIGNE,1003,2002,2003,2002,2004,production-day-2025-12-11.xlsx
PRG-462,4,CB Simple parage,332.78,H,5,2025-12-11 06:23:21,2025-12-11 14:53:18,SENT_TO_LIGNE,1003,2005,2003,2002,2002,production-day-2025-12-11.xlsx
PRG-155,5,Longe précuit,232.0,E,15,2025-12-11 08:14:00,2025-12-11 17:41:48,SENT_TO_LIGNE,1003,2003,2005,2004,2003,production-day-2025-12-11.xlsx
PRG-896,6,Miette,336.88,A,12,2025-12-11 06:39:07,2025-12-11 14:41:00,SENT_TO_LIGNE,1002,2002,2003,2005,2005,production-day-2025-12-11.xlsx
PRG-614,7,CB Double parage,371.78,A,1,2025-12-11 08:19:15,2025-12-11 11:24:29,SENT_TO_LIGNE,1001,2003,2001,2003,2004,production-day-2025-12-11.xlsx
PRG-991,8,CB Simple parage,215.81,D,3,2025-12-11 07:09:42,2025-12-11 09:17:32,SENT_TO_LIGNE,1003,2004,2004,2005,2001,production-day-2025-12-11.xlsx
PRG-975,9,CB Double parage,301.96,A,9,2025-12-11 06:57:01,2025-12-11 14:13:00,SENT_TO_LIGNE,1001,2004,2004,2003,2002,production-day-2025-12-11.xlsx
PRG-636,10,CB Simple parage,396.55,D,6,2025-12-11 07:16:00,2025-12-11 12:29:39,SENT_TO_LIGNE,1003,2001,2001,2004,2001,production-day-2025-12-11.xlsx
PRG-429,11,Longe précuit,436.12,A,36,2025-12-11 08:26:52,2025-12-11 11:35:07,SENT_TO_LIGNE,1001,2001,2004,2003,2002,production-day-2025-12-11.xlsx
PRG-812,12,CB Double parage,220.87,C,24,2025-12-11 09:29:40,2025-12-11 14:43:10,SENT_TO_LIGNE,1001,2004,2002,2004,2005,production-day-2025-12-11.xlsx
PRG-789,13,Morcelé,325.55,D,14,2025-12-11 08:28:02,2025-12-11 15:47:54,SENT_TO_LIGNE,1003,2001,2005,2001,2001,production-day-2025-12-11.xlsx
PRG-515,14,Morcelé,341.81,F,32,2025-12-11 08:59:22,2025-12-11 11:20:53,SENT_TO_LIGNE,1003,2004,2005,2004,2003,production-day-2025-12-11.xlsx
PRG-554,15,Miette,403.61,F,8,2025-12-11 09:39:11,2025-12-11 13:20:16,SENT_TO_LIGNE,1001,2004,2003,2005,2002,production-day-2025-12-11.xlsx
PRG-348,16,CT simple parage,431.41,I,8,2025-12-11 09:11:38,2025-12-11 12:17:07,SENT_TO_LIGNE,1001,2002,2003,2003,2003,production-day-2025-12-11.xlsx
PRG-845,17,CB Simple parage,445.9,D,32,2025-12-11 07:26:13,2025-12-11 14:07:22,SENT_TO_LIGNE,1003,2001,2005,2002,2005,production-day-2025-12-11.xlsx
