palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-U1UZIZN8,5/2 [2],Thon Entier à l'Huile,3003,2026-01-26 15:56:14,production-day-2026-01-26.xlsx
PAL-5DVVK6JA,5/2 [1],Thon Emietté à la Tomate,3003,2026-01-26 16:14:14,production-day-2026-01-26.xlsx
PAL-3NF5FTBC,400,Thon en Morceaux à l'Huile,3001,2026-01-26 19:25:16,production-day-2026-01-26.xlsx
PAL-SYDB7PPA,Manuel,Thon Emietté à l'Huile,3001,2026-01-26 18:59:19,production-day-2026-01-26.xlsx
PAL-5IN9XMQL,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-01-26 15:45:32,production-day-2026-01-26.xlsx
PAL-XOXI1PJD,1/5,Thon en Morceaux au Naturel,3003,2026-01-26 13:55:21,production-day-2026-01-26.xlsx
PAL-YXG8T1R2,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-01-26 11:06:27,production-day-2026-01-26.xlsx
PAL-2Z84BPAE,5/2 [2],Thon Emietté à l'Huile,3001,2026-01-26 15:20:49,production-day-2026-01-26.xlsx
PAL-78VCXWRN,400,Thon Entier au Naturel,3003,2026-01-26 15:48:18,production-day-2026-01-26.xlsx
PAL-NTGAOGG0,1/5,Thon en Morceaux au Naturel,3002,2026-01-26 14:55:31,production-day-2026-01-26.xlsx
PAL-ZCSTO322,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-26 16:25:50,production-day-2026-01-26.xlsx
PAL-3G8KDK1B,5/2 [1],Thon Entier au Naturel,3001,2026-01-26 16:16:41,production-day-2026-01-26.xlsx
PAL-LFU1V7OT,1/5,Thon Emietté à l'Huile,3002,2026-01-26 11:52:43,production-day-2026-01-26.xlsx
PAL-1E2WQDWE,5/2 [1],Thon Entier à l'Huile,3003,2026-01-26 10:00:04,production-day-2026-01-26.xlsx
PAL-9PUYR7TE,5/2 [1],Thon Emietté à l'Huile,3002,2026-01-26 11:59:27,production-day-2026-01-26.xlsx
PAL-HC7ONLLP,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-26 16:00:19,production-day-2026-01-26.xlsx
PAL-UR4WQPVC,400,Thon Emietté à l'Huile,3001,2026-01-26 10:41:18,production-day-2026-01-26.xlsx
PAL-F4M4TYO9,5/2 [2],Thon Entier à l'Huile,3003,2026-01-26 12:47:18,production-day-2026-01-26.xlsx
PAL-PN0PXGY2,5/2 [1],Thon en Morceaux au Naturel,3003,2026-01-26 16:29:29,production-day-2026-01-26.xlsx
PAL-74WNBVAI,5/2 [2],Thon Entier à l'Huile,3003,2026-01-26 13:35:04,production-day-2026-01-26.xlsx
PAL-VAUMQNEI,5/2 [2],Thon Entier au Naturel,3001,2026-01-26 15:53:50,production-day-2026-01-26.xlsx
PAL-11IJ939A,400,Thon Entier à l'Huile,3001,2026-01-26 12:26:57,production-day-2026-01-26.xlsx
PAL-YPU2396Z,400,Thon en Morceaux au Naturel,3001,2026-01-26 17:05:56,production-day-2026-01-26.xlsx
PAL-YFZXE6M2,400,Thon Entier au Naturel,3003,2026-01-26 15:24:20,production-day-2026-01-26.xlsx
PAL-IRJQAOUX,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-01-26 10:54:40,production-day-2026-01-26.xlsx
