parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-608,1,CB Simple parage,231.44,H,19,2026-01-14 08:07:15,2026-01-14 13:25:17,SENT_TO_LIGNE,1002,2004,2001,2001,2001,production-day-2026-01-14.xlsx
PRG-624,2,Miette,353.48,G,18,2026-01-14 08:39:38,2026-01-14 18:05:44,SENT_TO_LIGNE,1001,2004,2001,2002,2003,production-day-2026-01-14.xlsx
PRG-904,3,CB Simple parage,302.19,H,1,2026-01-14 09:00:49,2026-01-14 14:00:00,SENT_TO_LIGNE,1003,2004,2002,2005,2005,production-day-2026-01-14.xlsx
PRG-447,4,CT simple parage,428.92,B,1,2026-01-14 07:19:41,2026-01-14 11:41:20,SENT_TO_LIGNE,1002,2004,2002,2005,2003,production-day-2026-01-14.xlsx
PRG-977,5,CB Simple parage,227.94,I,12,2026-01-14 06:59:16,2026-01-14 12:41:14,SENT_TO_LIGNE,1001,2004,2002,2005,2004,production-day-2026-01-14.xlsx
PRG-545,6,CB Simple parage,321.26,H,34,2026-01-14 06:01:04,2026-01-14 10:13:47,SENT_TO_LIGNE,1002,2003,2001,2004,2002,production-day-2026-01-14.xlsx
PRG-160,7,CB Double parage,347.15,H,17,2026-01-14 06:34:04,2026-01-14 14:25:34,SENT_TO_LIGNE,1002,2001,2001,2002,2003,production-day-2026-01-14.xlsx
PRG-748,8,Morcelé,264.42,A,17,2026-01-14 09:10:39,2026-01-14 16:35:56,SENT_TO_LIGNE,1003,2005,2002,2002,2003,production-day-2026-01-14.xlsx
PRG-783,9,Miette,336.88,D,12,2026-01-14 06:39:52,2026-01-14 14:24:45,SENT_TO_LIGNE,1001,2005,2005,2003,2004,production-day-2026-01-14.xlsx
PRG-449,10,Longe précuit,272.1,D,35,2026-01-14 06:37:53,2026-01-14 12:46:05,SENT_TO_LIGNE,1003,2005,2005,2002,2004,production-day-2026-01-14.xlsx
PRG-343,11,CB Simple parage,414.1,A,2,2026-01-14 09:27:34,2026-01-14 15:21:13,SENT_TO_LIGNE,1001,2001,2004,2003,2002,production-day-2026-01-14.xlsx
PRG-740,12,Morcelé,442.09,H,25,2026-01-14 07:58:10,2026-01-14 14:26:18,SENT_TO_LIGNE,1002,2005,2005,2002,2004,production-day-2026-01-14.xlsx
PRG-554,13,Morcelé,274.61,D,19,2026-01-14 08:08:31,2026-01-14 15:46:58,SENT_TO_LIGNE,1003,2002,2002,2003,2003,production-day-2026-01-14.xlsx
PRG-637,14,CB Simple parage,355.14,B,27,2026-01-14 08:35:26,2026-01-14 18:04:10,SENT_TO_LIGNE,1003,2005,2005,2003,2004,production-day-2026-01-14.xlsx
PRG-720,15,CB Simple parage,407.25,H,36,2026-01-14 09:22:20,2026-01-14 18:33:34,SENT_TO_LIGNE,1001,2004,2005,2002,2002,production-day-2026-01-14.xlsx
PRG-500,16,Morcelé,286.14,B,5,2026-01-14 06:12:45,2026-01-14 09:52:20,SENT_TO_LIGNE,1002,2002,2001,2001,2001,production-day-2026-01-14.xlsx
PRG-324,17,CB Double parage,356.1,D,10,2026-01-14 08:06:45,2026-01-14 15:20:02,SENT_TO_LIGNE,1001,2003,2005,2001,2002,production-day-2026-01-14.xlsx
PRG-165,18,CB Simple parage,423.83,H,20,2026-01-14 06:48:21,2026-01-14 15:43:43,SENT_TO_LIGNE,1001,2001,2001,2003,2004,production-day-2026-01-14.xlsx
PRG-461,19,CB Simple parage,261.67,B,13,2026-01-14 06:47:34,2026-01-14 10:15:11,SENT_TO_LIGNE,1001,2001,2005,2005,2001,production-day-2026-01-14.xlsx
PRG-680,20,CB Simple parage,236.82,D,12,2026-01-14 09:01:06,2026-01-14 12:58:24,SENT_TO_LIGNE,1001,2005,2002,2005,2004,production-day-2026-01-14.xlsx
PRG-752,21,Morcelé,334.12,G,30,2026-01-14 08:11:57,2026-01-14 18:02:44,SENT_TO_LIGNE,1003,2004,2004,2005,2004,production-day-2026-01-14.xlsx
PRG-843,22,CB Simple parage,207.19,H,28,2026-01-14 06:47:25,2026-01-14 11:03:18,SENT_TO_LIGNE,1003,2004,2005,2005,2005,production-day-2026-01-14.xlsx
PRG-879,23,CB Double parage,272.01,D,30,2026-01-14 09:10:22,2026-01-14 18:12:24,SENT_TO_LIGNE,1002,2004,2005,2002,2005,production-day-2026-01-14.xlsx
PRG-161,24,CT simple parage,208.92,I,31,2026-01-14 09:50:46,2026-01-14 12:33:44,SENT_TO_LIGNE,1001,2003,2002,2004,2005,production-day-2026-01-14.xlsx
PRG-444,25,CB Simple parage,387.01,I,7,2026-01-14 08:24:47,2026-01-14 17:20:28,SENT_TO_LIGNE,1002,2005,2004,2001,2002,production-day-2026-01-14.xlsx
PRG-786,26,CB Simple parage,347.57,A,30,2026-01-14 07:11:15,2026-01-14 16:22:28,SENT_TO_LIGNE,1003,2004,2003,2004,2001,production-day-2026-01-14.xlsx
