palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-156QSO2D,Manuel,Thon Entier au Naturel,3003,2025-12-18 17:23:55,production-day-2025-12-18.xlsx
PAL-MDP9YX8G,1/5,Thon Emietté à l'Huile,3001,2025-12-18 09:50:25,production-day-2025-12-18.xlsx
PAL-E5OPPC7P,5/2 [1],Thon Emietté à l'Huile,3002,2025-12-18 12:45:47,production-day-2025-12-18.xlsx
PAL-KTRLMG7F,5/2 [1],Thon Emietté à la Tomate,3002,2025-12-18 12:05:06,production-day-2025-12-18.xlsx
PAL-9DET3BKK,5/2 [1],Thon Emietté à la Tomate,3002,2025-12-18 09:34:05,production-day-2025-12-18.xlsx
PAL-VUGD7PFA,5/2 [1],Thon Emietté à l'Huile,3002,2025-12-18 13:15:39,production-day-2025-12-18.xlsx
PAL-75DZ2GVC,5/2 [1],Thon en Morceaux au Naturel,3002,2025-12-18 15:10:19,production-day-2025-12-18.xlsx
PAL-YCLMEQVM,5/2 [2],Thon Emietté à l'Huile,3002,2025-12-18 12:50:26,production-day-2025-12-18.xlsx
PAL-YCBII76L,5/2 [2],Thon Entier au Naturel,3003,2025-12-18 16:22:52,production-day-2025-12-18.xlsx
PAL-IE0B2QR5,5/2 [2],Thon Entier à l'Huile,3002,2025-12-18 15:55:29,production-day-2025-12-18.xlsx
PAL-DOSXV8UB,1/5,Thon Entier au Naturel,3003,2025-12-18 17:32:15,production-day-2025-12-18.xlsx
PAL-5PER13UD,5/2 [1],Thon Emietté à la Tomate,3002,2025-12-18 15:55:12,production-day-2025-12-18.xlsx
PAL-E9L1DGHZ,Manuel,Thon en Morceaux à l'Huile,3001,2025-12-18 11:39:30,production-day-2025-12-18.xlsx
PAL-IZX16R65,5/2 [2],Thon Emietté à la Tomate,3002,2025-12-18 15:41:05,production-day-2025-12-18.xlsx
PAL-7SKE5HSS,5/2 [2],Thon Emietté à la Tomate,3002,2025-12-18 18:12:18,production-day-2025-12-18.xlsx
PAL-LFDO836V,5/2 [1],Thon Entier à l'Huile,3001,2025-12-18 12:48:29,production-day-2025-12-18.xlsx
