palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-7GVS08LP,5/2 [2],Thon en Morceaux au Naturel,3001,2026-02-10 12:42:35,production-day-2026-02-10.xlsx
PAL-RU02EF1E,Manuel,Thon en Morceaux au Naturel,3002,2026-02-10 16:13:27,production-day-2026-02-10.xlsx
PAL-AHPMVZBE,1/5,Thon Emietté à la Tomate,3003,2026-02-10 14:03:49,production-day-2026-02-10.xlsx
PAL-YZSGCZQ6,400,Thon Emietté à l'Huile,3002,2026-02-10 19:31:01,production-day-2026-02-10.xlsx
PAL-0G6LE54V,5/2 [1],Thon en Morceaux au Naturel,3003,2026-02-10 13:11:38,production-day-2026-02-10.xlsx
PAL-ZSQEJUCK,1/5,Thon Entier au Naturel,3001,2026-02-10 19:33:22,production-day-2026-02-10.xlsx
PAL-UJ9PNH4U,5/2 [2],Thon en Morceaux à l'Huile,3003,2026-02-10 13:19:56,production-day-2026-02-10.xlsx
PAL-1WNC8ZK6,5/2 [2],Thon en Morceaux à l'Huile,3003,2026-02-10 16:39:14,production-day-2026-02-10.xlsx
PAL-RCGLN8E4,1/5,Thon Entier à l'Huile,3001,2026-02-10 11:35:40,production-day-2026-02-10.xlsx
PAL-SR7ANPMJ,Manuel,Thon en Morceaux au Naturel,3003,2026-02-10 12:40:41,production-day-2026-02-10.xlsx
PAL-W2B1ZEN1,5/2 [2],Thon Entier à l'Huile,3003,2026-02-10 14:31:56,production-day-2026-02-10.xlsx
PAL-9Q568UHS,400,Thon en Morceaux à l'Huile,3002,2026-02-10 14:39:56,production-day-2026-02-10.xlsx
PAL-LSDDX9Z5,5/2 [2],Thon Entier au Naturel,3001,2026-02-10 13:16:02,production-day-2026-02-10.xlsx
PAL-8F52QRYE,400,Thon Entier à l'Huile,3001,2026-02-10 12:01:45,production-day-2026-02-10.xlsx
PAL-TFZ72WKV,5/2 [2],Thon Emietté à la Tomate,3002,2026-02-10 12:15:42,production-day-2026-02-10.xlsx
PAL-DVGI1BJ3,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-02-10 12:15:10,production-day-2026-02-10.xlsx
PAL-58AHC48N,5/2 [2],Thon Entier à l'Huile,3002,2026-02-10 13:50:03,production-day-2026-02-10.xlsx
PAL-8PBXTBGN,5/2 [2],Thon Entier au Naturel,3001,2026-02-10 12:00:06,production-day-2026-02-10.xlsx
PAL-U6NZNO0E,1/5,Thon Entier à l'Huile,3003,2026-02-10 12:24:26,production-day-2026-02-10.xlsx
PAL-21MHBDVZ,5/2 [1],Thon en Morceaux au Naturel,3002,2026-02-10 11:11:58,production-day-2026-02-10.xlsx
PAL-8O6IH4JI,5/2 [2],Thon Entier à l'Huile,3002,2026-02-10 17:13:26,production-day-2026-02-10.xlsx
PAL-E1EMT3NU,5/2 [1],Thon en Morceaux au Naturel,3001,2026-02-10 13:19:06,production-day-2026-02-10.xlsx
PAL-22VVSTAN,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-10 12:31:34,production-day-2026-02-10.xlsx
PAL-XQG9KE38,Manuel,Thon Entier à l'Huile,3001,2026-02-10 12:25:25,production-day-2026-02-10.xlsx
PAL-WCSROKWT,1/5,Thon en Morceaux à l'Huile,3003,2026-02-10 16:42:54,production-day-2026-02-10.xlsx
PAL-TJRGXBFH,Manuel,Thon en Morceaux à l'Huile,3001,2026-02-10 13:35:46,production-day-2026-02-10.xlsx
PAL-4HM5S7K7,1/5,Thon Emietté à la Tomate,3003,2026-02-10 11:37:37,production-day-2026-02-10.xlsx
PAL-T02CQ8WL,5/2 [2],Thon Entier à l'Huile,3002,2026-02-10 14:05:40,production-day-2026-02-10.xlsx
PAL-YGM0GE4A,1/5,Thon Emietté à la Tomate,3003,2026-02-10 12:43:20,production-day-2026-02-10.xlsx
PAL-B6VDIZOU,5/2 [1],Thon en Morceaux à l'Huile,3002,2026-02-10 16:36:40,production-day-2026-02-10.xlsx
PAL-8UEHA4VH,5/2 [2],Thon en Morceaux au Naturel,3001,2026-02-10 17:40:18,production-day-2026-02-10.xlsx
