parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-470,1,Miette,313.38,G,9,2026-02-04 07:27:04,2026-02-04 11:17:58,SENT_TO_LIGNE,1002,2002,2004,2001,2001,production-day-2026-02-04.xlsx
PRG-158,2,CT simple parage,253.72,I,3,2026-02-04 09:55:17,2026-02-04 14:23:34,SENT_TO_LIGNE,1003,2005,2003,2004,2004,production-day-2026-02-04.xlsx
PRG-882,3,Miette,343.2,F,16,2026-02-04 07:51:27,2026-02-04 16:26:10,SENT_TO_LIGNE,1001,2004,2002,2003,2005,production-day-2026-02-04.xlsx
PRG-636,4,Longe précuit,271.82,C,32,2026-02-04 07:55:27,2026-02-04 14:18:52,SENT_TO_LIGNE,1001,2003,2002,2001,2003,production-day-2026-02-04.xlsx
PRG-921,5,Morcelé,254.25,A,3,2026-02-04 09:05:02,2026-02-04 15:46:28,SENT_TO_LIGNE,1002,2005,2001,2001,2003,production-day-2026-02-04.xlsx
PRG-540,6,CB Double parage,258.26,B,22,2026-02-04 06:07:05,2026-02-04 12:03:09,SENT_TO_LIGNE,1001,2001,2001,2002,2002,production-day-2026-02-04.xlsx
PRG-391,7,CB Simple parage,398.99,F,23,2026-02-04 09:14:47,2026-02-04 15:43:00,SENT_TO_LIGNE,1003,2003,2002,2005,2001,production-day-2026-02-04.xlsx
PRG-378,8,Longe précuit,375.08,C,34,2026-02-04 08:57:41,2026-02-04 12:08:10,SENT_TO_LIGNE,1001,2004,2002,2004,2003,production-day-2026-02-04.xlsx
PRG-823,9,CB Double parage,431.18,F,19,2026-02-04 08:06:05,2026-02-04 15:07:04,SENT_TO_LIGNE,1003,2001,2004,2001,2001,production-day-2026-02-04.xlsx
PRG-886,10,Longe précuit,443.72,E,25,2026-02-04 07:38:44,2026-02-04 15:24:41,SENT_TO_LIGNE,1003,2002,2001,2001,2004,production-day-2026-02-04.xlsx
PRG-183,11,Miette,381.36,I,9,2026-02-04 08:49:51,2026-02-04 11:07:53,SENT_TO_LIGNE,1003,2002,2005,2005,2005,production-day-2026-02-04.xlsx
PRG-560,12,CB Simple parage,445.85,G,12,2026-02-04 06:11:01,2026-02-04 13:36:57,SENT_TO_LIGNE,1003,2005,2004,2002,2004,production-day-2026-02-04.xlsx
PRG-644,13,Longe précuit,241.32,C,10,2026-02-04 08:56:17,2026-02-04 13:54:57,SENT_TO_LIGNE,1002,2001,2001,2002,2001,production-day-2026-02-04.xlsx
PRG-380,14,CT simple parage,267.29,I,15,2026-02-04 09:48:26,2026-02-04 18:10:38,SENT_TO_LIGNE,1003,2004,2001,2001,2001,production-day-2026-02-04.xlsx
PRG-517,15,Morcelé,428.77,D,15,2026-02-04 09:47:17,2026-02-04 18:03:07,SENT_TO_LIGNE,1002,2005,2005,2003,2003,production-day-2026-02-04.xlsx
PRG-500,16,CT simple parage,354.83,H,18,2026-02-04 09:50:24,2026-02-04 15:07:19,SENT_TO_LIGNE,1003,2005,2004,2003,2004,production-day-2026-02-04.xlsx
