parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-220,1,Morcelé,402.31,G,28,2026-01-20 06:51:47,2026-01-20 14:19:00,SENT_TO_LIGNE,1003,2005,2001,2004,2001,production-day-2026-01-20.xlsx
PRG-189,2,CB Simple parage,305.58,H,8,2026-01-20 09:51:56,2026-01-20 17:16:01,SENT_TO_LIGNE,1001,2003,2005,2001,2003,production-day-2026-01-20.xlsx
PRG-967,3,CB Simple parage,289.38,A,32,2026-01-20 09:49:49,2026-01-20 19:19:36,SENT_TO_LIGNE,1002,2002,2002,2005,2005,production-day-2026-01-20.xlsx
PRG-376,4,Morcelé,242.32,I,29,2026-01-20 06:38:25,2026-01-20 10:39:23,SENT_TO_LIGNE,1001,2005,2005,2001,2001,production-day-2026-01-20.xlsx
PRG-810,5,Miette,428.12,F,2,2026-01-20 08:13:19,2026-01-20 15:30:25,SENT_TO_LIGNE,1002,2001,2001,2002,2003,production-day-2026-01-20.xlsx
PRG-771,6,CT simple parage,248.76,D,17,2026-01-20 09:46:52,2026-01-20 15:23:00,SENT_TO_LIGNE,1002,2003,2004,2001,2005,production-day-2026-01-20.xlsx
PRG-838,7,CB Simple parage,423.05,G,36,2026-01-20 09:47:21,2026-01-20 12:11:09,SENT_TO_LIGNE,1001,2003,2004,2005,2003,production-day-2026-01-20.xlsx
PRG-940,8,CB Simple parage,293.69,E,29,2026-01-20 09:08:05,2026-01-20 11:48:56,SENT_TO_LIGNE,1003,2002,2001,2003,2003,production-day-2026-01-20.xlsx
PRG-555,9,CB Simple parage,405.73,I,5,2026-01-20 08:02:52,2026-01-20 11:59:06,SENT_TO_LIGNE,1002,2002,2003,2005,2001,production-day-2026-01-20.xlsx
PRG-280,10,Morcelé,334.14,D,27,2026-01-20 07:06:33,2026-01-20 15:40:53,SENT_TO_LIGNE,1001,2004,2001,2005,2004,production-day-2026-01-20.xlsx
PRG-116,11,CT simple parage,237.8,B,1,2026-01-20 06:06:18,2026-01-20 09:00:15,SENT_TO_LIGNE,1001,2002,2004,2001,2002,production-day-2026-01-20.xlsx
PRG-524,12,CB Simple parage,377.36,I,7,2026-01-20 07:54:39,2026-01-20 13:25:35,SENT_TO_LIGNE,1001,2001,2002,2003,2005,production-day-2026-01-20.xlsx
PRG-418,13,CT simple parage,276.91,B,26,2026-01-20 08:42:36,2026-01-20 16:23:49,SENT_TO_LIGNE,1003,2005,2005,2002,2003,production-day-2026-01-20.xlsx
