parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-141,1,CB Simple parage,231.51,E,26,2025-12-30 09:04:25,2025-12-30 18:41:09,SENT_TO_LIGNE,1002,2002,2003,2002,2001,production-day-2025-12-30.xlsx
PRG-304,2,Miette,238.21,B,27,2025-12-30 06:33:03,2025-12-30 14:35:05,SENT_TO_LIGNE,1003,2002,2001,2003,2001,production-day-2025-12-30.xlsx
PRG-911,3,CB Simple parage,345.8,B,9,2025-12-30 06:06:22,2025-12-30 14:25:54,SENT_TO_LIGNE,1002,2001,2002,2003,2003,production-day-2025-12-30.xlsx
PRG-697,4,CT simple parage,212.75,G,9,2025-12-30 08:05:38,2025-12-30 16:44:16,SENT_TO_LIGNE,1001,2003,2005,2005,2001,production-day-2025-12-30.xlsx
PRG-110,5,CB Simple parage,416.5,B,15,2025-12-30 07:01:36,2025-12-30 13:04:15,SENT_TO_LIGNE,1002,2004,2002,2005,2005,production-day-2025-12-30.xlsx
PRG-838,6,Morcelé,345.37,A,29,2025-12-30 07:34:43,2025-12-30 13:44:28,SENT_TO_LIGNE,1001,2004,2002,2005,2003,production-day-2025-12-30.xlsx
PRG-194,7,CB Simple parage,383.68,D,32,2025-12-30 09:53:53,2025-12-30 16:13:54,SENT_TO_LIGNE,1001,2005,2003,2001,2003,production-day-2025-12-30.xlsx
PRG-480,8,Longe précuit,299.89,E,23,2025-12-30 08:04:01,2025-12-30 11:09:03,SENT_TO_LIGNE,1001,2001,2001,2005,2002,production-day-2025-12-30.xlsx
PRG-749,9,Miette,392.2,H,22,2025-12-30 06:05:33,2025-12-30 13:10:32,SENT_TO_LIGNE,1003,2002,2004,2001,2002,production-day-2025-12-30.xlsx
PRG-909,10,Morcelé,373.98,H,22,2025-12-30 08:06:12,2025-12-30 16:59:28,SENT_TO_LIGNE,1002,2003,2004,2005,2003,production-day-2025-12-30.xlsx
PRG-383,11,CB Double parage,387.13,E,26,2025-12-30 08:34:00,2025-12-30 15:34:34,SENT_TO_LIGNE,1003,2004,2001,2001,2003,production-day-2025-12-30.xlsx
PRG-499,12,CB Simple parage,384.11,I,2,2025-12-30 06:10:29,2025-12-30 11:55:29,SENT_TO_LIGNE,1001,2002,2004,2005,2005,production-day-2025-12-30.xlsx
PRG-328,13,Morcelé,326.18,H,10,2025-12-30 06:07:56,2025-12-30 12:19:05,SENT_TO_LIGNE,1001,2003,2004,2003,2005,production-day-2025-12-30.xlsx
PRG-748,14,Longe précuit,254.02,G,9,2025-12-30 08:26:45,2025-12-30 11:59:12,SENT_TO_LIGNE,1003,2001,2002,2002,2001,production-day-2025-12-30.xlsx
PRG-372,15,CB Simple parage,383.88,C,2,2025-12-30 07:36:05,2025-12-30 12:53:25,SENT_TO_LIGNE,1002,2005,2002,2005,2001,production-day-2025-12-30.xlsx
PRG-527,16,Miette,318.43,B,9,2025-12-30 07:26:36,2025-12-30 11:42:01,SENT_TO_LIGNE,1002,2003,2002,2005,2005,production-day-2025-12-30.xlsx
PRG-743,17,CB Simple parage,239.85,D,34,2025-12-30 06:51:52,2025-12-30 13:56:55,SENT_TO_LIGNE,1001,2004,2004,2001,2002,production-day-2025-12-30.xlsx
PRG-286,18,CB Simple parage,331.16,C,35,2025-12-30 08:06:26,2025-12-30 12:58:20,SENT_TO_LIGNE,1003,2005,2005,2002,2002,production-day-2025-12-30.xlsx
PRG-274,19,CB Simple parage,186.55,A,29,2025-12-30 08:18:04,2025-12-30 15:49:33,SENT_TO_LIGNE,1001,2002,2004,2002,2005,production-day-2025-12-30.xlsx
PRG-885,20,CB Simple parage,267.06,I,26,2025-12-30 06:38:51,2025-12-30 13:02:14,SENT_TO_LIGNE,1002,2003,2001,2004,2005,production-day-2025-12-30.xlsx
PRG-263,21,CB Double parage,265.73,A,1,2025-12-30 06:11:02,2025-12-30 13:17:29,SENT_TO_LIGNE,1003,2005,2001,2004,2001,production-day-2025-12-30.xlsx
PRG-438,22,CB Simple parage,352.48,E,22,2025-12-30 07:40:06,2025-12-30 16:53:53,SENT_TO_LIGNE,1003,2001,2002,2003,2004,production-day-2025-12-30.xlsx
PRG-691,23,CB Double parage,363.82,G,5,2025-12-30 06:38:56,2025-12-30 13:17:49,SENT_TO_LIGNE,1001,2005,2005,2004,2002,production-day-2025-12-30.xlsx
PRG-178,24,Longe précuit,193.34,H,4,2025-12-30 08:41:05,2025-12-30 15:50:16,SENT_TO_LIGNE,1001,2002,2002,2001,2001,production-day-2025-12-30.xlsx
