parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-107,1,Miette,370.29,C,20,2025-12-08 06:38:58,2025-12-08 11:25:21,SENT_TO_LIGNE,1003,2004,2004,2003,2003,production-day-2025-12-08.xlsx
PRG-354,2,CB Double parage,241.05,E,3,2025-12-08 07:29:35,2025-12-08 12:06:06,SENT_TO_LIGNE,1003,2003,2005,2003,2004,production-day-2025-12-08.xlsx
PRG-729,3,Longe précuit,429.12,B,30,2025-12-08 09:28:47,2025-12-08 17:41:55,SENT_TO_LIGNE,1002,2001,2005,2002,2003,production-day-2025-12-08.xlsx
PRG-734,4,Miette,213.41,D,10,2025-12-08 06:08:21,2025-12-08 14:16:30,SENT_TO_LIGNE,1001,2005,2003,2001,2004,production-day-2025-12-08.xlsx
PRG-799,5,Miette,300.46,C,6,2025-12-08 08:58:26,2025-12-08 16:01:31,SENT_TO_LIGNE,1002,2001,2004,2004,2003,production-day-2025-12-08.xlsx
PRG-844,6,CB Simple parage,374.87,H,28,2025-12-08 08:42:06,2025-12-08 11:05:41,SENT_TO_LIGNE,1002,2002,2005,2005,2004,production-day-2025-12-08.xlsx
PRG-936,7,CB Simple parage,431.91,G,34,2025-12-08 06:26:32,2025-12-08 09:40:41,SENT_TO_LIGNE,1001,2005,2001,2005,2005,production-day-2025-12-08.xlsx
PRG-362,8,CB Double parage,309.63,A,15,2025-12-08 06:06:23,2025-12-08 09:31:00,SENT_TO_LIGNE,1001,2005,2001,2005,2004,production-day-2025-12-08.xlsx
PRG-550,9,CB Double parage,315.58,E,34,2025-12-08 06:21:07,2025-12-08 15:37:39,SENT_TO_LIGNE,1003,2003,2001,2001,2005,production-day-2025-12-08.xlsx
PRG-966,10,Miette,265.56,B,25,2025-12-08 06:12:27,2025-12-08 10:03:21,SENT_TO_LIGNE,1003,2002,2005,2001,2005,production-day-2025-12-08.xlsx
PRG-475,11,CB Simple parage,357.74,B,34,2025-12-08 06:38:26,2025-12-08 14:24:10,SENT_TO_LIGNE,1001,2005,2005,2002,2002,production-day-2025-12-08.xlsx
PRG-810,12,CB Simple parage,256.16,E,36,2025-12-08 07:03:39,2025-12-08 12:18:26,SENT_TO_LIGNE,1003,2005,2004,2004,2002,production-day-2025-12-08.xlsx
PRG-797,13,Longe précuit,367.9,C,30,2025-12-08 09:24:36,2025-12-08 14:02:31,SENT_TO_LIGNE,1003,2003,2005,2004,2003,production-day-2025-12-08.xlsx
PRG-655,14,Miette,416.18,C,36,2025-12-08 09:04:16,2025-12-08 18:46:59,SENT_TO_LIGNE,1003,2005,2001,2003,2002,production-day-2025-12-08.xlsx
PRG-413,15,Morcelé,401.34,C,23,2025-12-08 08:19:25,2025-12-08 12:09:56,SENT_TO_LIGNE,1003,2005,2001,2005,2004,production-day-2025-12-08.xlsx
PRG-331,16,CB Simple parage,329.75,D,6,2025-12-08 07:10:00,2025-12-08 12:09:55,SENT_TO_LIGNE,1003,2004,2004,2002,2002,production-day-2025-12-08.xlsx
PRG-957,17,CB Simple parage,293.93,B,10,2025-12-08 06:53:15,2025-12-08 11:07:35,SENT_TO_LIGNE,1003,2003,2002,2001,2001,production-day-2025-12-08.xlsx
PRG-444,18,CT simple parage,399.8,D,1,2025-12-08 09:07:13,2025-12-08 17:23:28,SENT_TO_LIGNE,1003,2001,2002,2004,2005,production-day-2025-12-08.xlsx
PRG-119,19,CT simple parage,336.01,A,36,2025-12-08 06:46:51,2025-12-08 15:12:04,SENT_TO_LIGNE,1003,2003,2004,2002,2004,production-day-2025-12-08.xlsx
PRG-525,20,Longe précuit,389.45,C,21,2025-12-08 09:06:53,2025-12-08 17:53:22,SENT_TO_LIGNE,1002,2005,2002,2004,2002,production-day-2025-12-08.xlsx
PRG-615,21,Miette,327.02,I,33,2025-12-08 06:55:17,2025-12-08 13:26:59,SENT_TO_LIGNE,1003,2002,2003,2005,2005,production-day-2025-12-08.xlsx
PRG-656,22,CT simple parage,373.73,E,13,2025-12-08 08:05:19,2025-12-08 13:38:24,SENT_TO_LIGNE,1003,2005,2004,2001,2004,production-day-2025-12-08.xlsx
PRG-831,23,CB Double parage,327.23,C,9,2025-12-08 08:30:03,2025-12-08 13:58:02,SENT_TO_LIGNE,1003,2001,2001,2002,2005,production-day-2025-12-08.xlsx
PRG-494,24,CB Simple parage,186.91,I,33,2025-12-08 09:46:15,2025-12-08 13:35:01,SENT_TO_LIGNE,1003,2002,2002,2001,2003,production-day-2025-12-08.xlsx
