parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-566,1,CB Double parage,214.6,F,20,2026-02-03 06:46:18,2026-02-03 12:38:04,SENT_TO_LIGNE,1001,2001,2003,2005,2001,production-day-2026-02-03.xlsx
PRG-423,2,Morcelé,440.64,H,4,2026-02-03 09:51:33,2026-02-03 14:36:10,SENT_TO_LIGNE,1002,2002,2001,2003,2001,production-day-2026-02-03.xlsx
PRG-194,3,CB Simple parage,329.03,D,34,2026-02-03 09:18:11,2026-02-03 18:35:35,SENT_TO_LIGNE,1003,2003,2005,2002,2005,production-day-2026-02-03.xlsx
PRG-714,4,CB Simple parage,433.12,A,20,2026-02-03 06:10:24,2026-02-03 12:10:28,SENT_TO_LIGNE,1002,2003,2002,2004,2001,production-day-2026-02-03.xlsx
PRG-959,5,CB Simple parage,261.21,E,25,2026-02-03 08:06:26,2026-02-03 14:58:41,SENT_TO_LIGNE,1001,2002,2004,2005,2003,production-day-2026-02-03.xlsx
PRG-840,6,CB Double parage,225.64,D,4,2026-02-03 07:48:19,2026-02-03 16:36:45,SENT_TO_LIGNE,1003,2003,2002,2004,2001,production-day-2026-02-03.xlsx
PRG-401,7,CB Simple parage,222.33,A,36,2026-02-03 07:40:50,2026-02-03 17:10:29,SENT_TO_LIGNE,1003,2004,2001,2002,2003,production-day-2026-02-03.xlsx
PRG-525,8,Longe précuit,310.9,H,8,2026-02-03 09:57:39,2026-02-03 17:11:05,SENT_TO_LIGNE,1001,2001,2004,2003,2005,production-day-2026-02-03.xlsx
PRG-138,9,CB Double parage,247.47,E,14,2026-02-03 08:47:24,2026-02-03 13:07:34,SENT_TO_LIGNE,1002,2005,2001,2002,2001,production-day-2026-02-03.xlsx
PRG-233,10,CB Simple parage,285.49,E,24,2026-02-03 06:23:16,2026-02-03 14:02:08,SENT_TO_LIGNE,1001,2001,2003,2004,2001,production-day-2026-02-03.xlsx
PRG-423,11,CB Double parage,356.67,F,28,2026-02-03 08:21:15,2026-02-03 16:12:24,SENT_TO_LIGNE,1002,2001,2001,2005,2001,production-day-2026-02-03.xlsx
PRG-745,12,CB Simple parage,404.05,C,13,2026-02-03 08:18:11,2026-02-03 15:50:17,SENT_TO_LIGNE,1001,2003,2003,2003,2005,production-day-2026-02-03.xlsx
PRG-300,13,CT simple parage,319.1,H,29,2026-02-03 08:51:31,2026-02-03 13:51:16,SENT_TO_LIGNE,1002,2004,2001,2002,2005,production-day-2026-02-03.xlsx
PRG-946,14,CB Simple parage,229.35,E,20,2026-02-03 07:39:53,2026-02-03 16:58:49,SENT_TO_LIGNE,1002,2003,2001,2002,2003,production-day-2026-02-03.xlsx
PRG-772,15,Longe précuit,225.11,E,24,2026-02-03 08:27:44,2026-02-03 15:35:56,SENT_TO_LIGNE,1003,2001,2003,2001,2002,production-day-2026-02-03.xlsx
