parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-712,1,CB Simple parage,422.85,H,29,2025-12-01 07:58:01,2025-12-01 10:03:44,SENT_TO_LIGNE,1003,2003,2001,2005,2002,production-day-2025-12-01.xlsx
PRG-406,2,CB Simple parage,198.16,G,18,2025-12-01 09:47:57,2025-12-01 17:07:22,SENT_TO_LIGNE,1002,2001,2002,2003,2005,production-day-2025-12-01.xlsx
PRG-647,3,CB Simple parage,343.68,F,31,2025-12-01 07:15:18,2025-12-01 11:08:36,SENT_TO_LIGNE,1003,2004,2005,2005,2004,production-day-2025-12-01.xlsx
PRG-619,4,Longe précuit,306.02,C,35,2025-12-01 09:25:31,2025-12-01 15:24:36,SENT_TO_LIGNE,1001,2002,2005,2001,2005,production-day-2025-12-01.xlsx
PRG-348,5,Miette,438.21,G,34,2025-12-01 08:27:50,2025-12-01 12:11:25,SENT_TO_LIGNE,1001,2003,2005,2002,2003,production-day-2025-12-01.xlsx
PRG-717,6,CB Simple parage,367.77,A,14,2025-12-01 06:45:17,2025-12-01 15:43:49,SENT_TO_LIGNE,1001,2002,2003,2003,2003,production-day-2025-12-01.xlsx
PRG-579,7,CB Double parage,303.96,D,31,2025-12-01 06:25:23,2025-12-01 12:03:58,SENT_TO_LIGNE,1001,2002,2002,2005,2002,production-day-2025-12-01.xlsx
PRG-348,8,CT simple parage,181.34,H,18,2025-12-01 06:02:39,2025-12-01 15:56:24,SENT_TO_LIGNE,1001,2004,2003,2005,2002,production-day-2025-12-01.xlsx
PRG-400,9,Longe précuit,279.84,C,5,2025-12-01 08:13:48,2025-12-01 14:25:47,SENT_TO_LIGNE,1003,2002,2003,2004,2002,production-day-2025-12-01.xlsx
PRG-315,10,CT simple parage,187.74,D,10,2025-12-01 09:41:03,2025-12-01 18:17:38,SENT_TO_LIGNE,1002,2001,2002,2004,2001,production-day-2025-12-01.xlsx
PRG-572,11,CB Simple parage,361.5,H,15,2025-12-01 08:10:45,2025-12-01 11:21:36,SENT_TO_LIGNE,1001,2005,2004,2001,2003,production-day-2025-12-01.xlsx
PRG-470,12,CB Simple parage,321.16,G,6,2025-12-01 08:22:22,2025-12-01 16:34:11,SENT_TO_LIGNE,1002,2001,2004,2004,2002,production-day-2025-12-01.xlsx
PRG-141,13,CB Double parage,369.39,G,11,2025-12-01 06:11:17,2025-12-01 13:50:10,SENT_TO_LIGNE,1003,2005,2004,2001,2003,production-day-2025-12-01.xlsx
PRG-314,14,CB Double parage,257.79,A,5,2025-12-01 09:53:23,2025-12-01 12:50:14,SENT_TO_LIGNE,1001,2003,2004,2002,2005,production-day-2025-12-01.xlsx
PRG-834,15,CB Simple parage,365.4,A,25,2025-12-01 09:32:28,2025-12-01 16:09:40,SENT_TO_LIGNE,1001,2003,2001,2004,2003,production-day-2025-12-01.xlsx
PRG-658,16,CB Simple parage,385.13,B,25,2025-12-01 06:32:03,2025-12-01 09:32:00,SENT_TO_LIGNE,1003,2002,2002,2005,2002,production-day-2025-12-01.xlsx
PRG-573,17,CB Double parage,269.85,F,3,2025-12-01 06:49:12,2025-12-01 15:22:57,SENT_TO_LIGNE,1002,2003,2004,2005,2005,production-day-2025-12-01.xlsx
PRG-174,18,Longe précuit,259.59,D,11,2025-12-01 07:24:30,2025-12-01 12:34:17,SENT_TO_LIGNE,1003,2003,2002,2003,2002,production-day-2025-12-01.xlsx
PRG-443,19,Longe précuit,308.01,F,35,2025-12-01 09:25:35,2025-12-01 14:19:04,SENT_TO_LIGNE,1001,2003,2002,2001,2001,production-day-2025-12-01.xlsx
PRG-226,20,CT simple parage,287.67,G,12,2025-12-01 06:27:04,2025-12-01 12:22:40,SENT_TO_LIGNE,1001,2002,2004,2005,2002,production-day-2025-12-01.xlsx
PRG-216,21,CB Double parage,310.9,B,11,2025-12-01 07:12:40,2025-12-01 13:34:22,SENT_TO_LIGNE,1003,2001,2001,2005,2002,production-day-2025-12-01.xlsx
PRG-212,22,Longe précuit,225.41,C,28,2025-12-01 07:05:05,2025-12-01 15:21:27,SENT_TO_LIGNE,1003,2004,2002,2001,2004,production-day-2025-12-01.xlsx
