palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-5G52APU4,1/5,Thon en Morceaux à l'Huile,3002,2025-11-18 18:12:03,production-day-2025-11-18.xlsx
PAL-GX4EQOYZ,5/2 [2],Thon Emietté à la Tomate,3003,2025-11-18 11:27:39,production-day-2025-11-18.xlsx
PAL-3H8LM7JI,5/2 [2],Thon en Morceaux au Naturel,3002,2025-11-18 12:32:05,production-day-2025-11-18.xlsx
PAL-10Q71H08,5/2 [2],Thon Emietté à la Tomate,3002,2025-11-18 13:58:18,production-day-2025-11-18.xlsx
PAL-N1V9SKWD,1/5,Thon Entier à l'Huile,3003,2025-11-18 09:04:08,production-day-2025-11-18.xlsx
PAL-2IAYCHS7,400,Thon Emietté à l'Huile,3003,2025-11-18 18:29:21,production-day-2025-11-18.xlsx
PAL-X5UUNY2E,5/2 [1],Thon Entier à l'Huile,3001,2025-11-18 14:22:29,production-day-2025-11-18.xlsx
PAL-0MWV39JP,5/2 [2],Thon en Morceaux au Naturel,3003,2025-11-18 15:50:21,production-day-2025-11-18.xlsx
PAL-VR6POWNQ,5/2 [1],Thon Emietté à la Tomate,3003,2025-11-18 11:41:46,production-day-2025-11-18.xlsx
PAL-K8TV77I8,5/2 [2],Thon en Morceaux à l'Huile,3003,2025-11-18 11:04:04,production-day-2025-11-18.xlsx
PAL-ZSFR07N1,5/2 [2],Thon Entier à l'Huile,3002,2025-11-18 11:23:17,production-day-2025-11-18.xlsx
PAL-XSRMHP5T,5/2 [2],Thon Entier à l'Huile,3003,2025-11-18 15:39:05,production-day-2025-11-18.xlsx
PAL-0HWVTPUC,5/2 [1],Thon en Morceaux au Naturel,3002,2025-11-18 16:28:55,production-day-2025-11-18.xlsx
PAL-BX1G2E07,1/5,Thon Entier au Naturel,3003,2025-11-18 12:50:31,production-day-2025-11-18.xlsx
PAL-9OWBM21N,5/2 [2],Thon en Morceaux au Naturel,3003,2025-11-18 15:01:42,production-day-2025-11-18.xlsx
