parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-913,1,CB Simple parage,221.49,H,26,2026-02-10 07:25:25,2026-02-10 12:27:35,SENT_TO_LIGNE,1001,2004,2003,2005,2001,production-day-2026-02-10.xlsx
PRG-514,2,CB Simple parage,225.86,B,6,2026-02-10 07:11:22,2026-02-10 15:53:27,SENT_TO_LIGNE,1002,2003,2001,2002,2005,production-day-2026-02-10.xlsx
PRG-468,3,CB Simple parage,364.55,G,13,2026-02-10 08:39:00,2026-02-10 13:32:49,SENT_TO_LIGNE,1001,2004,2005,2003,2005,production-day-2026-02-10.xlsx
PRG-600,4,CB Simple parage,298.55,G,2,2026-02-10 09:28:43,2026-02-10 19:18:01,SENT_TO_LIGNE,1003,2003,2004,2005,2003,production-day-2026-02-10.xlsx
PRG-225,5,CB Simple parage,317.39,G,21,2026-02-10 08:17:00,2026-02-10 12:36:38,SENT_TO_LIGNE,1002,2003,2001,2005,2005,production-day-2026-02-10.xlsx
PRG-237,6,Morcelé,239.8,H,1,2026-02-10 09:49:27,2026-02-10 18:56:22,SENT_TO_LIGNE,1003,2002,2002,2003,2001,production-day-2026-02-10.xlsx
PRG-393,7,CB Simple parage,227.23,G,2,2026-02-10 09:55:44,2026-02-10 12:46:56,SENT_TO_LIGNE,1002,2004,2004,2004,2004,production-day-2026-02-10.xlsx
PRG-305,8,CB Double parage,334.55,D,30,2026-02-10 07:15:05,2026-02-10 16:03:14,SENT_TO_LIGNE,1002,2002,2001,2004,2005,production-day-2026-02-10.xlsx
PRG-156,9,CT simple parage,355.14,D,13,2026-02-10 07:00:07,2026-02-10 11:18:40,SENT_TO_LIGNE,1001,2001,2005,2004,2001,production-day-2026-02-10.xlsx
PRG-270,10,CT simple parage,406.94,H,14,2026-02-10 07:00:51,2026-02-10 12:22:41,SENT_TO_LIGNE,1003,2003,2003,2002,2004,production-day-2026-02-10.xlsx
PRG-946,11,CB Double parage,341.61,A,9,2026-02-10 06:17:02,2026-02-10 14:20:56,SENT_TO_LIGNE,1002,2005,2003,2003,2001,production-day-2026-02-10.xlsx
PRG-256,12,CB Double parage,291.08,D,1,2026-02-10 06:29:46,2026-02-10 14:01:56,SENT_TO_LIGNE,1001,2005,2004,2001,2001,production-day-2026-02-10.xlsx
PRG-452,13,CB Simple parage,410.79,B,27,2026-02-10 06:11:14,2026-02-10 13:01:02,SENT_TO_LIGNE,1001,2002,2003,2005,2001,production-day-2026-02-10.xlsx
PRG-707,14,CT simple parage,281.46,G,11,2026-02-10 06:21:44,2026-02-10 11:21:45,SENT_TO_LIGNE,1003,2003,2002,2005,2005,production-day-2026-02-10.xlsx
PRG-986,15,CT simple parage,364.88,E,29,2026-02-10 07:36:33,2026-02-10 11:38:42,SENT_TO_LIGNE,1001,2003,2005,2001,2004,production-day-2026-02-10.xlsx
PRG-879,16,Morcelé,263.08,C,35,2026-02-10 09:01:51,2026-02-10 11:37:10,SENT_TO_LIGNE,1003,2003,2002,2001,2001,production-day-2026-02-10.xlsx
PRG-564,17,Longe précuit,294.84,H,10,2026-02-10 09:27:39,2026-02-10 13:25:03,SENT_TO_LIGNE,1002,2004,2005,2004,2004,production-day-2026-02-10.xlsx
PRG-479,18,Morcelé,364.31,F,1,2026-02-10 07:33:16,2026-02-10 11:50:06,SENT_TO_LIGNE,1001,2004,2002,2001,2005,production-day-2026-02-10.xlsx
PRG-806,19,Miette,352.53,H,18,2026-02-10 08:31:32,2026-02-10 12:00:26,SENT_TO_LIGNE,1003,2002,2004,2005,2004,production-day-2026-02-10.xlsx
PRG-944,20,CB Simple parage,387.65,F,12,2026-02-10 06:09:33,2026-02-10 10:31:58,SENT_TO_LIGNE,1001,2002,2001,2005,2001,production-day-2026-02-10.xlsx
PRG-103,21,Morcelé,398.73,E,23,2026-02-10 07:08:02,2026-02-10 16:57:26,SENT_TO_LIGNE,1003,2002,2003,2003,2003,production-day-2026-02-10.xlsx
PRG-517,22,Miette,400.61,C,24,2026-02-10 07:38:51,2026-02-10 12:58:06,SENT_TO_LIGNE,1001,2002,2001,2005,2004,production-day-2026-02-10.xlsx
PRG-402,23,Morcelé,335.36,C,1,2026-02-10 08:26:12,2026-02-10 12:18:34,SENT_TO_LIGNE,1001,2002,2005,2003,2001,production-day-2026-02-10.xlsx
PRG-680,24,Morcelé,384.28,H,16,2026-02-10 08:40:17,2026-02-10 12:04:25,SENT_TO_LIGNE,1002,2002,2005,2005,2004,production-day-2026-02-10.xlsx
PRG-684,25,CB Double parage,191.49,C,34,2026-02-10 07:52:51,2026-02-10 16:24:54,SENT_TO_LIGNE,1003,2001,2002,2001,2002,production-day-2026-02-10.xlsx
PRG-537,26,CT simple parage,214.78,G,27,2026-02-10 07:35:56,2026-02-10 13:16:46,SENT_TO_LIGNE,1001,2001,2004,2002,2003,production-day-2026-02-10.xlsx
PRG-340,27,CB Simple parage,345.44,E,20,2026-02-10 07:51:18,2026-02-10 11:20:37,SENT_TO_LIGNE,1001,2001,2003,2004,2001,production-day-2026-02-10.xlsx
PRG-126,28,CB Simple parage,247.9,D,8,2026-02-10 09:37:46,2026-02-10 13:55:40,SENT_TO_LIGNE,1003,2003,2003,2002,2002,production-day-2026-02-10.xlsx
PRG-424,29,CB Simple parage,354.25,D,17,2026-02-10 06:46:28,2026-02-10 12:28:20,SENT_TO_LIGNE,1001,2005,2003,2001,2002,production-day-2026-02-10.xlsx
PRG-675,30,Miette,268.53,D,32,2026-02-10 09:36:42,2026-02-10 16:04:40,SENT_TO_LIGNE,1002,2001,2001,2002,2005,production-day-2026-02-10.xlsx
PRG-573,31,CB Simple parage,201.37,B,15,2026-02-10 07:45:27,2026-02-10 17:12:18,SENT_TO_LIGNE,1002,2005,2001,2003,2001,production-day-2026-02-10.xlsx
