palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-0VEFXQRV,1/5,Thon en Morceaux à l'Huile,3003,2026-01-05 15:58:30,production-day-2026-01-05.xlsx
PAL-UYG2YUQ4,5/2 [1],Thon Emietté à la Tomate,3003,2026-01-05 16:07:26,production-day-2026-01-05.xlsx
PAL-PS4ES0B6,5/2 [2],Thon Entier au Naturel,3002,2026-01-05 14:59:44,production-day-2026-01-05.xlsx
PAL-7QG2PHG8,1/5,Thon Emietté à la Tomate,3003,2026-01-05 18:02:42,production-day-2026-01-05.xlsx
PAL-BC8AHTPE,400,Thon Emietté à l'Huile,3002,2026-01-05 15:20:31,production-day-2026-01-05.xlsx
PAL-GZHQUXID,5/2 [1],Thon Emietté à la Tomate,3003,2026-01-05 13:38:28,production-day-2026-01-05.xlsx
PAL-9QDUYVWH,400,Thon Entier au Naturel,3003,2026-01-05 12:42:41,production-day-2026-01-05.xlsx
PAL-0V8ARNDV,400,Thon Entier au Naturel,3003,2026-01-05 12:51:41,production-day-2026-01-05.xlsx
PAL-DC779LMC,400,Thon Emietté à la Tomate,3001,2026-01-05 13:56:40,production-day-2026-01-05.xlsx
PAL-096PSHL3,5/2 [2],Thon Entier à l'Huile,3002,2026-01-05 16:21:44,production-day-2026-01-05.xlsx
PAL-M9U3DN8Q,5/2 [1],Thon Entier au Naturel,3002,2026-01-05 15:32:38,production-day-2026-01-05.xlsx
PAL-KKSYKCJ6,Manuel,Thon Entier au Naturel,3001,2026-01-05 10:41:19,production-day-2026-01-05.xlsx
PAL-FV5VRRSI,5/2 [2],Thon en Morceaux au Naturel,3003,2026-01-05 15:54:57,production-day-2026-01-05.xlsx
PAL-8MBKVWS3,1/5,Thon Entier à l'Huile,3003,2026-01-05 17:58:49,production-day-2026-01-05.xlsx
PAL-VL0JNGC3,5/2 [1],Thon en Morceaux au Naturel,3002,2026-01-05 15:20:33,production-day-2026-01-05.xlsx
PAL-BUN4B7V0,Manuel,Thon Entier à l'Huile,3003,2026-01-05 14:16:07,production-day-2026-01-05.xlsx
PAL-BY0YGVKW,5/2 [2],Thon Entier au Naturel,3003,2026-01-05 16:45:40,production-day-2026-01-05.xlsx
PAL-5VRX1306,Manuel,Thon Entier au Naturel,3003,2026-01-05 13:38:08,production-day-2026-01-05.xlsx
PAL-8RDVLNQ5,1/5,Thon en Morceaux à l'Huile,3002,2026-01-05 18:59:17,production-day-2026-01-05.xlsx
PAL-1PFUYIZ7,400,Thon Emietté à l'Huile,3002,2026-01-05 14:32:49,production-day-2026-01-05.xlsx
PAL-UAXQD6LC,400,Thon en Morceaux à l'Huile,3002,2026-01-05 13:09:13,production-day-2026-01-05.xlsx
PAL-VX1CSDAR,5/2 [1],Thon Emietté à la Tomate,3001,2026-01-05 12:09:12,production-day-2026-01-05.xlsx
PAL-NXXARQII,5/2 [1],Thon Entier à l'Huile,3001,2026-01-05 09:16:26,production-day-2026-01-05.xlsx
PAL-9CC4QPXD,400,Thon en Morceaux à l'Huile,3003,2026-01-05 14:32:51,production-day-2026-01-05.xlsx
PAL-89085IFI,Manuel,Thon en Morceaux à l'Huile,3001,2026-01-05 10:54:24,production-day-2026-01-05.xlsx
PAL-9E8F217B,5/2 [2],Thon Entier à l'Huile,3001,2026-01-05 10:45:25,production-day-2026-01-05.xlsx
PAL-UM6O2JFZ,1/5,Thon en Morceaux à l'Huile,3001,2026-01-05 13:03:28,production-day-2026-01-05.xlsx
PAL-DBZSRM3B,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-01-05 11:39:16,production-day-2026-01-05.xlsx
PAL-81IN2BFS,5/2 [2],Thon Entier au Naturel,3002,2026-01-05 15:37:31,production-day-2026-01-05.xlsx
PAL-U9YEEZLY,5/2 [1],Thon Entier au Naturel,3002,2026-01-05 16:41:37,production-day-2026-01-05.xlsx
PAL-1U1SME91,1/5,Thon Entier à l'Huile,3001,2026-01-05 15:09:25,production-day-2026-01-05.xlsx
PAL-C9I9WH50,5/2 [2],Thon Entier à l'Huile,3001,2026-01-05 13:50:01,production-day-2026-01-05.xlsx
PAL-DBTB0EE9,1/5,Thon Emietté à l'Huile,3001,2026-01-05 10:48:46,production-day-2026-01-05.xlsx
PAL-W8WDT1KU,5/2 [2],Thon en Morceaux au Naturel,3001,2026-01-05 17:29:43,production-day-2026-01-05.xlsx
PAL-8CS41OHA,1/5,Thon en Morceaux au Naturel,3002,2026-01-05 16:52:32,production-day-2026-01-05.xlsx
PAL-7X3RW3HT,1/5,Thon Entier au Naturel,3001,2026-01-05 13:36:40,production-day-2026-01-05.xlsx
