parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-715,1,CT simple parage,332.21,F,9,2026-03-05 09:18:56,2026-03-05 15:30:58,SENT_TO_LIGNE,1001,2003,2001,2005,2001,production-day-2026-03-05.xlsx
PRG-282,2,CT simple parage,363.07,A,22,2026-03-05 08:07:37,2026-03-05 15:55:43,SENT_TO_LIGNE,1003,2003,2005,2005,2003,production-day-2026-03-05.xlsx
PRG-482,3,CB Simple parage,225.01,D,2,2026-03-05 06:29:08,2026-03-05 13:38:07,SENT_TO_LIGNE,1002,2001,2004,2002,2005,production-day-2026-03-05.xlsx
PRG-899,4,CB Simple parage,234.29,B,19,2026-03-05 09:50:45,2026-03-05 15:20:11,SENT_TO_LIGNE,1002,2002,2005,2005,2002,production-day-2026-03-05.xlsx
PRG-578,5,Miette,447.15,E,27,2026-03-05 08:46:05,2026-03-05 12:34:55,SENT_TO_LIGNE,1002,2005,2002,2003,2003,production-day-2026-03-05.xlsx
PRG-956,6,CB Double parage,336.69,B,1,2026-03-05 07:59:20,2026-03-05 16:12:17,SENT_TO_LIGNE,1001,2005,2005,2001,2005,production-day-2026-03-05.xlsx
PRG-242,7,CB Simple parage,435.87,C,3,2026-03-05 08:15:39,2026-03-05 14:52:00,SENT_TO_LIGNE,1003,2003,2005,2005,2004,production-day-2026-03-05.xlsx
PRG-846,8,Morcelé,279.45,B,31,2026-03-05 07:12:10,2026-03-05 10:35:40,SENT_TO_LIGNE,1001,2001,2003,2003,2005,production-day-2026-03-05.xlsx
PRG-620,9,Morcelé,283.29,B,22,2026-03-05 08:29:50,2026-03-05 17:37:31,SENT_TO_LIGNE,1002,2004,2003,2004,2003,production-day-2026-03-05.xlsx
PRG-672,10,Morcelé,249.42,G,21,2026-03-05 09:27:06,2026-03-05 13:19:26,SENT_TO_LIGNE,1003,2003,2004,2001,2002,production-day-2026-03-05.xlsx
PRG-389,11,CB Simple parage,346.34,C,12,2026-03-05 09:19:51,2026-03-05 12:21:49,SENT_TO_LIGNE,1003,2001,2003,2003,2002,production-day-2026-03-05.xlsx
PRG-579,12,Longe précuit,180.6,B,25,2026-03-05 07:28:42,2026-03-05 13:58:18,SENT_TO_LIGNE,1001,2005,2004,2005,2005,production-day-2026-03-05.xlsx
PRG-582,13,CB Simple parage,184.57,I,8,2026-03-05 07:06:34,2026-03-05 11:55:51,SENT_TO_LIGNE,1001,2003,2002,2004,2003,production-day-2026-03-05.xlsx
PRG-741,14,Miette,216.78,D,25,2026-03-05 07:15:21,2026-03-05 11:46:48,SENT_TO_LIGNE,1003,2001,2001,2004,2001,production-day-2026-03-05.xlsx
PRG-420,15,CB Simple parage,396.17,F,36,2026-03-05 08:34:29,2026-03-05 11:12:21,SENT_TO_LIGNE,1003,2003,2001,2001,2002,production-day-2026-03-05.xlsx
PRG-303,16,Longe précuit,283.68,D,25,2026-03-05 06:15:27,2026-03-05 10:53:40,SENT_TO_LIGNE,1003,2003,2003,2002,2001,production-day-2026-03-05.xlsx
PRG-720,17,CB Simple parage,436.04,E,31,2026-03-05 06:00:20,2026-03-05 13:56:12,SENT_TO_LIGNE,1003,2003,2003,2004,2003,production-day-2026-03-05.xlsx
PRG-647,18,Miette,320.54,A,23,2026-03-05 06:37:19,2026-03-05 11:52:19,SENT_TO_LIGNE,1002,2002,2004,2004,2003,production-day-2026-03-05.xlsx
PRG-661,19,CB Simple parage,274.28,G,23,2026-03-05 07:10:12,2026-03-05 15:16:29,SENT_TO_LIGNE,1002,2002,2002,2004,2004,production-day-2026-03-05.xlsx
PRG-139,20,CB Double parage,367.2,F,24,2026-03-05 07:03:35,2026-03-05 15:06:39,SENT_TO_LIGNE,1003,2003,2004,2005,2003,production-day-2026-03-05.xlsx
PRG-371,21,CB Simple parage,329.84,I,15,2026-03-05 06:55:52,2026-03-05 10:28:26,SENT_TO_LIGNE,1003,2002,2004,2003,2005,production-day-2026-03-05.xlsx
PRG-220,22,CB Simple parage,323.94,B,34,2026-03-05 09:37:50,2026-03-05 18:27:32,SENT_TO_LIGNE,1003,2001,2001,2004,2002,production-day-2026-03-05.xlsx
PRG-763,23,Miette,428.84,G,33,2026-03-05 06:12:25,2026-03-05 09:44:28,SENT_TO_LIGNE,1002,2001,2004,2003,2003,production-day-2026-03-05.xlsx
PRG-337,24,CB Simple parage,422.02,I,12,2026-03-05 08:32:20,2026-03-05 15:11:27,SENT_TO_LIGNE,1002,2004,2005,2001,2004,production-day-2026-03-05.xlsx
PRG-225,25,CB Double parage,263.79,I,8,2026-03-05 08:06:11,2026-03-05 12:22:28,SENT_TO_LIGNE,1003,2004,2003,2003,2001,production-day-2026-03-05.xlsx
