parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-524,1,Morcelé,269.86,C,1,2025-12-05 08:08:14,2025-12-05 12:17:58,SENT_TO_LIGNE,1002,2003,2002,2004,2003,production-day-2025-12-05.xlsx
PRG-628,2,Miette,385.55,F,26,2025-12-05 06:28:50,2025-12-05 15:44:43,SENT_TO_LIGNE,1001,2004,2003,2002,2002,production-day-2025-12-05.xlsx
PRG-583,3,Morcelé,229.48,I,8,2025-12-05 07:10:22,2025-12-05 10:36:12,SENT_TO_LIGNE,1003,2005,2001,2001,2003,production-day-2025-12-05.xlsx
PRG-565,4,CT simple parage,407.86,B,26,2025-12-05 09:24:05,2025-12-05 16:58:56,SENT_TO_LIGNE,1001,2003,2003,2005,2004,production-day-2025-12-05.xlsx
PRG-560,5,CB Simple parage,335.6,A,11,2025-12-05 07:23:40,2025-12-05 14:35:54,SENT_TO_LIGNE,1001,2005,2001,2004,2001,production-day-2025-12-05.xlsx
PRG-496,6,Morcelé,255.52,H,17,2025-12-05 09:59:56,2025-12-05 14:50:47,SENT_TO_LIGNE,1001,2002,2005,2002,2003,production-day-2025-12-05.xlsx
PRG-848,7,CB Simple parage,218.92,C,29,2025-12-05 09:34:33,2025-12-05 19:03:14,SENT_TO_LIGNE,1003,2003,2002,2004,2002,production-day-2025-12-05.xlsx
PRG-120,8,CB Double parage,301.77,E,6,2025-12-05 09:17:26,2025-12-05 14:43:55,SENT_TO_LIGNE,1003,2001,2003,2004,2005,production-day-2025-12-05.xlsx
PRG-352,9,CB Simple parage,201.2,C,32,2025-12-05 06:26:14,2025-12-05 14:04:47,SENT_TO_LIGNE,1003,2001,2002,2004,2001,production-day-2025-12-05.xlsx
PRG-107,10,Morcelé,367.99,D,13,2025-12-05 06:15:08,2025-12-05 13:29:52,SENT_TO_LIGNE,1002,2005,2003,2003,2001,production-day-2025-12-05.xlsx
PRG-156,11,CB Simple parage,445.62,E,26,2025-12-05 06:22:58,2025-12-05 16:11:03,SENT_TO_LIGNE,1002,2001,2004,2003,2005,production-day-2025-12-05.xlsx
PRG-634,12,CB Simple parage,406.74,C,28,2025-12-05 09:26:48,2025-12-05 14:33:21,SENT_TO_LIGNE,1002,2004,2001,2005,2005,production-day-2025-12-05.xlsx
PRG-992,13,CB Simple parage,375.3,C,5,2025-12-05 07:39:26,2025-12-05 12:52:36,SENT_TO_LIGNE,1001,2003,2001,2003,2003,production-day-2025-12-05.xlsx
PRG-371,14,CB Simple parage,289.1,D,1,2025-12-05 09:14:57,2025-12-05 13:45:48,SENT_TO_LIGNE,1002,2002,2003,2005,2005,production-day-2025-12-05.xlsx
PRG-317,15,CB Double parage,208.15,D,6,2025-12-05 06:21:23,2025-12-05 11:35:10,SENT_TO_LIGNE,1002,2001,2004,2005,2001,production-day-2025-12-05.xlsx
PRG-490,16,Longe précuit,326.57,C,24,2025-12-05 09:28:10,2025-12-05 15:36:04,SENT_TO_LIGNE,1003,2001,2003,2005,2002,production-day-2025-12-05.xlsx
