palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-PW9Z97UF,400,Thon Emietté à la Tomate,3003,2026-02-02 16:27:20,production-day-2026-02-02.xlsx
PAL-MCBW27PC,5/2 [1],Thon Emietté à la Tomate,3002,2026-02-02 17:24:29,production-day-2026-02-02.xlsx
PAL-4VNGH2ET,1/5,Thon Entier à l'Huile,3001,2026-02-02 15:30:20,production-day-2026-02-02.xlsx
PAL-1096AZIN,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-02 14:58:15,production-day-2026-02-02.xlsx
PAL-WJ4U22YM,1/5,Thon Emietté à la Tomate,3001,2026-02-02 12:20:56,production-day-2026-02-02.xlsx
PAL-HTOIUEN1,1/5,Thon en Morceaux à l'Huile,3001,2026-02-02 14:23:59,production-day-2026-02-02.xlsx
PAL-N8CSLP0N,1/5,Thon Entier au Naturel,3003,2026-02-02 17:11:34,production-day-2026-02-02.xlsx
PAL-3RP3WPID,1/5,Thon en Morceaux au Naturel,3003,2026-02-02 17:19:00,production-day-2026-02-02.xlsx
PAL-YAKB01H2,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-02-02 18:25:48,production-day-2026-02-02.xlsx
PAL-20KR2HYF,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-02 13:48:45,production-day-2026-02-02.xlsx
PAL-FLVO201C,5/2 [1],Thon Entier à l'Huile,3002,2026-02-02 15:25:29,production-day-2026-02-02.xlsx
PAL-NLG6RD1I,Manuel,Thon Entier au Naturel,3002,2026-02-02 12:34:32,production-day-2026-02-02.xlsx
PAL-SXEAXW47,5/2 [2],Thon Entier au Naturel,3002,2026-02-02 14:08:52,production-day-2026-02-02.xlsx
PAL-7G9G00WQ,Manuel,Thon Emietté à l'Huile,3003,2026-02-02 14:10:00,production-day-2026-02-02.xlsx
PAL-PT8XW0XT,400,Thon Emietté à l'Huile,3001,2026-02-02 13:35:54,production-day-2026-02-02.xlsx
PAL-BEXWGYQL,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-02 15:42:49,production-day-2026-02-02.xlsx
PAL-F2VJFBO7,5/2 [1],Thon Emietté à la Tomate,3001,2026-02-02 13:09:18,production-day-2026-02-02.xlsx
PAL-67F2VY02,1/5,Thon Emietté à la Tomate,3001,2026-02-02 19:10:43,production-day-2026-02-02.xlsx
PAL-KENDT5HN,Manuel,Thon Entier au Naturel,3003,2026-02-02 18:16:05,production-day-2026-02-02.xlsx
PAL-6ATB4N8C,5/2 [2],Thon Emietté à l'Huile,3003,2026-02-02 12:30:04,production-day-2026-02-02.xlsx
PAL-1IXMK99P,400,Thon Emietté à la Tomate,3002,2026-02-02 17:18:57,production-day-2026-02-02.xlsx
PAL-SHE4VVBX,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-02 11:08:29,production-day-2026-02-02.xlsx
PAL-NXMRCFJF,Manuel,Thon Emietté à la Tomate,3003,2026-02-02 13:59:45,production-day-2026-02-02.xlsx
PAL-AW86P986,5/2 [2],Thon Entier à l'Huile,3003,2026-02-02 10:25:49,production-day-2026-02-02.xlsx
PAL-XSCH0G1O,400,Thon Entier à l'Huile,3001,2026-02-02 16:57:00,production-day-2026-02-02.xlsx
PAL-37VBMFT0,Manuel,Thon Emietté à l'Huile,3002,2026-02-02 18:14:18,production-day-2026-02-02.xlsx
PAL-JBZZRO07,400,Thon Emietté à l'Huile,3003,2026-02-02 13:28:45,production-day-2026-02-02.xlsx
PAL-WQSUZNDO,Manuel,Thon Entier au Naturel,3001,2026-02-02 13:40:11,production-day-2026-02-02.xlsx
PAL-99RTSKJH,5/2 [1],Thon Entier à l'Huile,3002,2026-02-02 17:09:43,production-day-2026-02-02.xlsx
PAL-1HQQ5WXU,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-02-02 17:30:08,production-day-2026-02-02.xlsx
PAL-QTBT11EP,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-02-02 17:01:04,production-day-2026-02-02.xlsx
PAL-SKTVWN76,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-02 13:09:25,production-day-2026-02-02.xlsx
PAL-OEE0O66N,5/2 [2],Thon Emietté à l'Huile,3003,2026-02-02 11:48:21,production-day-2026-02-02.xlsx
PAL-XYL53IPV,5/2 [2],Thon en Morceaux à l'Huile,3001,2026-02-02 11:35:51,production-day-2026-02-02.xlsx
PAL-VLJSYLBH,Manuel,Thon Entier à l'Huile,3003,2026-02-02 13:22:44,production-day-2026-02-02.xlsx
PAL-TU119LSK,5/2 [2],Thon Entier au Naturel,3002,2026-02-02 11:30:25,production-day-2026-02-02.xlsx
PAL-JWLG38VT,5/2 [1],Thon Emietté à l'Huile,3003,2026-02-02 15:58:01,production-day-2026-02-02.xlsx
PAL-LK9B615X,400,Thon en Morceaux à l'Huile,3002,2026-02-02 18:53:46,production-day-2026-02-02.xlsx
PAL-DEKQCOGD,1/5,Thon Entier au Naturel,3002,2026-02-02 12:42:01,production-day-2026-02-02.xlsx
PAL-Z74N7SIZ,5/2 [1],Thon Emietté à l'Huile,3001,2026-02-02 16:11:02,production-day-2026-02-02.xlsx
