palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-UQ2C5UOL,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-11 13:11:43,production-day-2026-02-11.xlsx
PAL-LK13R3X5,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-11 13:16:01,production-day-2026-02-11.xlsx
PAL-MNC6LVXQ,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-02-11 15:47:10,production-day-2026-02-11.xlsx
PAL-1B23A7OF,1/5,Thon en Morceaux à l'Huile,3002,2026-02-11 12:11:38,production-day-2026-02-11.xlsx
PAL-24Q5S6O6,5/2 [1],Thon Entier au Naturel,3001,2026-02-11 14:54:42,production-day-2026-02-11.xlsx
PAL-HHFRVFSB,400,Thon Emietté à la Tomate,3002,2026-02-11 10:08:08,production-day-2026-02-11.xlsx
PAL-V0A1XUSM,5/2 [2],Thon Entier à l'Huile,3001,2026-02-11 17:50:58,production-day-2026-02-11.xlsx
PAL-MDW9AMW2,5/2 [2],Thon Entier à l'Huile,3002,2026-02-11 19:19:32,production-day-2026-02-11.xlsx
PAL-ODBTSI3W,1/5,Thon Entier à l'Huile,3001,2026-02-11 13:28:43,production-day-2026-02-11.xlsx
PAL-LAVLLV88,400,Thon Emietté à l'Huile,3001,2026-02-11 11:27:05,production-day-2026-02-11.xlsx
PAL-M6YDZOVL,400,Thon en Morceaux à l'Huile,3003,2026-02-11 09:40:00,production-day-2026-02-11.xlsx
PAL-FKWASJST,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-11 13:38:52,production-day-2026-02-11.xlsx
PAL-5FTXZF5R,5/2 [1],Thon en Morceaux au Naturel,3002,2026-02-11 10:44:48,production-day-2026-02-11.xlsx
PAL-6O9PYSIQ,5/2 [1],Thon Entier au Naturel,3001,2026-02-11 11:45:00,production-day-2026-02-11.xlsx
PAL-ZPRR31HX,5/2 [2],Thon Entier à l'Huile,3001,2026-02-11 13:51:24,production-day-2026-02-11.xlsx
PAL-MJXQ8I50,5/2 [2],Thon Entier à l'Huile,3003,2026-02-11 13:03:11,production-day-2026-02-11.xlsx
PAL-HW6Y6J18,5/2 [1],Thon Entier au Naturel,3002,2026-02-11 18:29:05,production-day-2026-02-11.xlsx
PAL-HLU9WV13,400,Thon Emietté à la Tomate,3001,2026-02-11 17:21:39,production-day-2026-02-11.xlsx
PAL-Q1EEGZUS,5/2 [1],Thon en Morceaux à l'Huile,3002,2026-02-11 12:00:18,production-day-2026-02-11.xlsx
PAL-WWZBSY4W,5/2 [2],Thon Entier au Naturel,3001,2026-02-11 16:39:12,production-day-2026-02-11.xlsx
PAL-Y5FWXM6D,5/2 [2],Thon en Morceaux à l'Huile,3002,2026-02-11 12:42:14,production-day-2026-02-11.xlsx
PAL-5IW47SND,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-11 11:19:33,production-day-2026-02-11.xlsx
PAL-ZSR8ZNAW,400,Thon Emietté à l'Huile,3001,2026-02-11 15:54:31,production-day-2026-02-11.xlsx
