parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-959,1,CB Simple parage,422.03,G,16,2026-01-23 09:38:21,2026-01-23 18:03:26,SENT_TO_LIGNE,1001,2003,2003,2001,2003,production-day-2026-01-23.xlsx
PRG-682,2,CB Double parage,244.36,E,4,2026-01-23 07:06:52,2026-01-23 15:24:28,SENT_TO_LIGNE,1001,2003,2004,2004,2002,production-day-2026-01-23.xlsx
PRG-926,3,Morcelé,277.35,G,20,2026-01-23 08:12:40,2026-01-23 12:15:24,SENT_TO_LIGNE,1001,2001,2001,2002,2004,production-day-2026-01-23.xlsx
PRG-551,4,CB Simple parage,387.06,I,2,2026-01-23 07:22:41,2026-01-23 16:02:08,SENT_TO_LIGNE,1001,2005,2005,2003,2005,production-day-2026-01-23.xlsx
PRG-841,5,CB Double parage,250.53,G,27,2026-01-23 08:49:59,2026-01-23 17:37:17,SENT_TO_LIGNE,1003,2001,2002,2003,2004,production-day-2026-01-23.xlsx
PRG-361,6,Morcelé,449.05,F,35,2026-01-23 08:29:36,2026-01-23 13:20:03,SENT_TO_LIGNE,1002,2005,2002,2001,2001,production-day-2026-01-23.xlsx
PRG-950,7,Morcelé,387.23,C,29,2026-01-23 09:34:22,2026-01-23 19:29:11,SENT_TO_LIGNE,1003,2004,2004,2002,2005,production-day-2026-01-23.xlsx
PRG-912,8,CB Simple parage,319.94,B,3,2026-01-23 07:44:23,2026-01-23 13:51:51,SENT_TO_LIGNE,1003,2002,2002,2005,2001,production-day-2026-01-23.xlsx
PRG-420,9,Miette,254.6,A,28,2026-01-23 08:56:24,2026-01-23 12:06:38,SENT_TO_LIGNE,1001,2001,2004,2002,2005,production-day-2026-01-23.xlsx
PRG-295,10,CT simple parage,224.14,H,34,2026-01-23 06:07:02,2026-01-23 12:51:44,SENT_TO_LIGNE,1001,2001,2001,2004,2005,production-day-2026-01-23.xlsx
PRG-491,11,Longe précuit,406.49,C,28,2026-01-23 06:46:48,2026-01-23 13:29:34,SENT_TO_LIGNE,1001,2002,2003,2002,2005,production-day-2026-01-23.xlsx
PRG-252,12,CB Simple parage,415.39,D,10,2026-01-23 06:41:16,2026-01-23 09:42:17,SENT_TO_LIGNE,1003,2002,2002,2005,2002,production-day-2026-01-23.xlsx
PRG-474,13,CB Double parage,335.68,G,12,2026-01-23 06:46:44,2026-01-23 13:49:40,SENT_TO_LIGNE,1002,2005,2005,2004,2004,production-day-2026-01-23.xlsx
PRG-467,14,CB Simple parage,371.99,F,19,2026-01-23 07:35:56,2026-01-23 15:53:58,SENT_TO_LIGNE,1003,2002,2002,2004,2005,production-day-2026-01-23.xlsx
PRG-443,15,Longe précuit,409.2,B,20,2026-01-23 07:23:07,2026-01-23 15:37:20,SENT_TO_LIGNE,1002,2001,2002,2001,2001,production-day-2026-01-23.xlsx
PRG-500,16,CB Simple parage,190.36,F,17,2026-01-23 08:28:13,2026-01-23 13:27:26,SENT_TO_LIGNE,1002,2004,2003,2005,2002,production-day-2026-01-23.xlsx
PRG-141,17,Morcelé,346.91,B,12,2026-01-23 06:07:12,2026-01-23 10:07:12,SENT_TO_LIGNE,1003,2001,2002,2002,2005,production-day-2026-01-23.xlsx
PRG-592,18,CB Simple parage,241.38,H,34,2026-01-23 07:59:49,2026-01-23 11:25:05,SENT_TO_LIGNE,1002,2003,2004,2001,2005,production-day-2026-01-23.xlsx
PRG-472,19,CB Simple parage,428.24,G,7,2026-01-23 08:33:53,2026-01-23 16:56:51,SENT_TO_LIGNE,1001,2003,2004,2002,2003,production-day-2026-01-23.xlsx
PRG-655,20,CT simple parage,399.58,E,4,2026-01-23 06:54:01,2026-01-23 13:14:40,SENT_TO_LIGNE,1002,2002,2005,2003,2005,production-day-2026-01-23.xlsx
PRG-963,21,CB Simple parage,259.26,E,20,2026-01-23 08:01:13,2026-01-23 11:28:54,SENT_TO_LIGNE,1001,2005,2002,2005,2004,production-day-2026-01-23.xlsx
PRG-124,22,CB Simple parage,438.76,E,7,2026-01-23 08:01:39,2026-01-23 14:15:03,SENT_TO_LIGNE,1003,2002,2005,2003,2005,production-day-2026-01-23.xlsx
PRG-884,23,CB Simple parage,202.7,H,32,2026-01-23 06:08:43,2026-01-23 12:46:42,SENT_TO_LIGNE,1002,2005,2005,2001,2004,production-day-2026-01-23.xlsx
