palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-F7UAS8EJ,5/2 [2],Thon Entier au Naturel,3003,2026-03-03 17:45:57,production-day-2026-03-03.xlsx
PAL-FB2TC7XO,5/2 [2],Thon en Morceaux à l'Huile,3002,2026-03-03 15:41:47,production-day-2026-03-03.xlsx
PAL-IY4LKBDR,5/2 [2],Thon Emietté à la Tomate,3002,2026-03-03 14:56:39,production-day-2026-03-03.xlsx
PAL-U7ZARGRE,5/2 [2],Thon Emietté à la Tomate,3002,2026-03-03 18:46:17,production-day-2026-03-03.xlsx
PAL-F229R4CH,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-03-03 10:51:28,production-day-2026-03-03.xlsx
PAL-KD0IMUI9,5/2 [2],Thon en Morceaux à l'Huile,3003,2026-03-03 13:20:19,production-day-2026-03-03.xlsx
PAL-RZP2YUPE,5/2 [1],Thon en Morceaux au Naturel,3002,2026-03-03 15:38:09,production-day-2026-03-03.xlsx
PAL-8BC4ZCA9,5/2 [1],Thon Emietté à la Tomate,3001,2026-03-03 12:12:38,production-day-2026-03-03.xlsx
PAL-GPOUBO9U,400,Thon Entier à l'Huile,3003,2026-03-03 17:15:49,production-day-2026-03-03.xlsx
PAL-RTPRNN2I,5/2 [1],Thon en Morceaux au Naturel,3003,2026-03-03 16:45:41,production-day-2026-03-03.xlsx
PAL-B8WVSKP7,Manuel,Thon Entier au Naturel,3001,2026-03-03 14:36:59,production-day-2026-03-03.xlsx
PAL-WRNMWMCV,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-03-03 13:17:19,production-day-2026-03-03.xlsx
PAL-D07G3PYW,5/2 [1],Thon en Morceaux au Naturel,3002,2026-03-03 09:47:04,production-day-2026-03-03.xlsx
PAL-1IQAPR72,5/2 [1],Thon en Morceaux au Naturel,3001,2026-03-03 17:47:22,production-day-2026-03-03.xlsx
PAL-9PWIX5KX,5/2 [2],Thon Emietté à l'Huile,3003,2026-03-03 13:53:49,production-day-2026-03-03.xlsx
PAL-L2EAUYZT,400,Thon Entier à l'Huile,3002,2026-03-03 14:00:01,production-day-2026-03-03.xlsx
PAL-OSW22GRN,1/5,Thon Emietté à la Tomate,3001,2026-03-03 15:22:58,production-day-2026-03-03.xlsx
PAL-GH6ZKKI6,5/2 [1],Thon Emietté à la Tomate,3001,2026-03-03 14:49:27,production-day-2026-03-03.xlsx
PAL-6W5CDHV0,5/2 [2],Thon Entier à l'Huile,3003,2026-03-03 16:58:16,production-day-2026-03-03.xlsx
PAL-9C5YBRPU,Manuel,Thon Entier à l'Huile,3001,2026-03-03 10:54:29,production-day-2026-03-03.xlsx
PAL-3KH6PTAE,400,Thon Entier à l'Huile,3002,2026-03-03 11:05:32,production-day-2026-03-03.xlsx
PAL-NZG9DMHX,5/2 [1],Thon en Morceaux au Naturel,3001,2026-03-03 10:04:22,production-day-2026-03-03.xlsx
PAL-AKTIQRQC,Manuel,Thon Emietté à la Tomate,3003,2026-03-03 13:39:12,production-day-2026-03-03.xlsx
