palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-6EVPFILN,Manuel,Thon en Morceaux à l'Huile,3002,2026-01-14 13:56:17,production-day-2026-01-14.xlsx
PAL-HWIV1F5Y,5/2 [1],Thon en Morceaux à l'Huile,3001,2026-01-14 18:25:44,production-day-2026-01-14.xlsx
PAL-10SS9V3D,5/2 [2],Thon Entier à l'Huile,3003,2026-01-14 14:22:00,production-day-2026-01-14.xlsx
PAL-9E7OBVB0,5/2 [1],Thon Entier au Naturel,3001,2026-01-14 11:52:20,production-day-2026-01-14.xlsx
PAL-LYEASWSC,400,Thon Emietté à l'Huile,3002,2026-01-14 12:55:14,production-day-2026-01-14.xlsx
PAL-FV5Z2XZH,5/2 [2],Thon en Morceaux à l'Huile,3002,2026-01-14 10:47:47,production-day-2026-01-14.xlsx
PAL-VEP35FMD,5/2 [1],Thon en Morceaux au Naturel,3001,2026-01-14 14:46:34,production-day-2026-01-14.xlsx
PAL-6NSZBKIV,1/5,Thon en Morceaux au Naturel,3003,2026-01-14 17:09:56,production-day-2026-01-14.xlsx
PAL-H5YCGH1T,1/5,Thon en Morceaux à l'Huile,3003,2026-01-14 14:41:45,production-day-2026-01-14.xlsx
PAL-C0VZ6D6J,5/2 [1],Thon Entier au Naturel,3003,2026-01-14 13:22:05,production-day-2026-01-14.xlsx
PAL-QZ8OZDNX,1/5,Thon Entier au Naturel,3003,2026-01-14 15:41:13,production-day-2026-01-14.xlsx
PAL-7PTXP3PJ,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-01-14 14:38:18,production-day-2026-01-14.xlsx
PAL-COLWDXA9,1/5,Thon Entier à l'Huile,3003,2026-01-14 16:07:58,production-day-2026-01-14.xlsx
PAL-WGR5UT8B,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-01-14 18:17:10,production-day-2026-01-14.xlsx
PAL-I3484ZAA,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-01-14 19:08:34,production-day-2026-01-14.xlsx
PAL-N0L9G4CN,5/2 [1],Thon en Morceaux à l'Huile,3002,2026-01-14 10:09:20,production-day-2026-01-14.xlsx
PAL-78JAOTPY,5/2 [2],Thon Entier à l'Huile,3002,2026-01-14 15:42:02,production-day-2026-01-14.xlsx
PAL-LRIDW2R7,Manuel,Thon Entier au Naturel,3002,2026-01-14 16:12:43,production-day-2026-01-14.xlsx
PAL-V97T2ONA,5/2 [1],Thon Emietté à la Tomate,3002,2026-01-14 10:33:11,production-day-2026-01-14.xlsx
PAL-RTMLXG4R,5/2 [1],Thon Entier au Naturel,3001,2026-01-14 13:24:24,production-day-2026-01-14.xlsx
PAL-JY9X3KAC,Manuel,Thon en Morceaux à l'Huile,3002,2026-01-14 18:38:44,production-day-2026-01-14.xlsx
PAL-T8G4ON0F,1/5,Thon Entier au Naturel,3002,2026-01-14 11:37:18,production-day-2026-01-14.xlsx
PAL-VU9SSRS5,5/2 [1],Thon Entier au Naturel,3003,2026-01-14 18:41:24,production-day-2026-01-14.xlsx
PAL-U7ZSM3MJ,400,Thon Entier au Naturel,3002,2026-01-14 13:11:44,production-day-2026-01-14.xlsx
PAL-GC1T98VC,5/2 [2],Thon Entier à l'Huile,3003,2026-01-14 17:32:28,production-day-2026-01-14.xlsx
PAL-ILIOLM4C,5/2 [1],Thon Emietté à la Tomate,3001,2026-01-14 16:32:28,production-day-2026-01-14.xlsx
