parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-485,1,CB Double parage,267.89,C,8,2025-11-20 07:55:46,2025-11-20 17:26:01,SENT_TO_LIGNE,1002,2003,2004,2004,2003,production-day-2025-11-20.xlsx
PRG-530,2,CB Simple parage,324.92,C,14,2025-11-20 07:32:56,2025-11-20 10:29:35,SENT_TO_LIGNE,1001,2003,2003,2003,2004,production-day-2025-11-20.xlsx
PRG-990,3,CB Simple parage,377.19,D,24,2025-11-20 08:12:13,2025-11-20 12:04:04,SENT_TO_LIGNE,1002,2004,2002,2001,2004,production-day-2025-11-20.xlsx
PRG-378,4,Longe précuit,279.81,A,34,2025-11-20 06:08:40,2025-11-20 12:32:38,SENT_TO_LIGNE,1001,2002,2003,2005,2004,production-day-2025-11-20.xlsx
PRG-895,5,CB Simple parage,220.53,D,34,2025-11-20 08:17:21,2025-11-20 16:24:00,SENT_TO_LIGNE,1001,2005,2002,2004,2005,production-day-2025-11-20.xlsx
PRG-990,6,Morcelé,384.22,C,14,2025-11-20 06:54:04,2025-11-20 09:47:16,SENT_TO_LIGNE,1002,2004,2002,2004,2004,production-day-2025-11-20.xlsx
PRG-288,7,CT simple parage,185.09,G,15,2025-11-20 07:34:18,2025-11-20 10:13:05,SENT_TO_LIGNE,1003,2003,2004,2003,2003,production-day-2025-11-20.xlsx
PRG-507,8,CB Double parage,183.23,I,13,2025-11-20 07:03:38,2025-11-20 14:15:24,SENT_TO_LIGNE,1003,2002,2005,2001,2001,production-day-2025-11-20.xlsx
PRG-125,9,CB Simple parage,316.29,B,11,2025-11-20 09:27:49,2025-11-20 18:37:52,SENT_TO_LIGNE,1003,2005,2005,2003,2003,production-day-2025-11-20.xlsx
PRG-987,10,CT simple parage,305.47,F,34,2025-11-20 06:58:19,2025-11-20 11:38:26,SENT_TO_LIGNE,1002,2001,2004,2001,2003,production-day-2025-11-20.xlsx
PRG-328,11,CB Double parage,303.36,G,36,2025-11-20 06:03:23,2025-11-20 14:04:52,SENT_TO_LIGNE,1001,2005,2001,2004,2004,production-day-2025-11-20.xlsx
PRG-353,12,CB Simple parage,190.05,C,10,2025-11-20 09:26:14,2025-11-20 16:40:21,SENT_TO_LIGNE,1003,2004,2004,2001,2002,production-day-2025-11-20.xlsx
PRG-946,13,CB Simple parage,218.06,I,26,2025-11-20 09:35:36,2025-11-20 18:01:06,SENT_TO_LIGNE,1001,2005,2001,2003,2005,production-day-2025-11-20.xlsx
PRG-533,14,CB Simple parage,275.04,F,31,2025-11-20 08:54:22,2025-11-20 16:27:47,SENT_TO_LIGNE,1001,2001,2003,2003,2004,production-day-2025-11-20.xlsx
PRG-439,15,Morcelé,253.74,A,6,2025-11-20 09:38:59,2025-11-20 19:26:05,SENT_TO_LIGNE,1003,2005,2001,2001,2002,production-day-2025-11-20.xlsx
PRG-304,16,Morcelé,391.52,G,1,2025-11-20 06:04:38,2025-11-20 15:49:41,SENT_TO_LIGNE,1002,2004,2003,2001,2002,production-day-2025-11-20.xlsx
PRG-289,17,CB Simple parage,324.17,H,27,2025-11-20 06:12:01,2025-11-20 09:06:04,SENT_TO_LIGNE,1002,2003,2004,2005,2003,production-day-2025-11-20.xlsx
PRG-306,18,CB Simple parage,288.97,E,34,2025-11-20 08:06:26,2025-11-20 12:14:23,SENT_TO_LIGNE,1002,2001,2001,2005,2002,production-day-2025-11-20.xlsx
