palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-P82T5AEB,1/5,Thon en Morceaux à l'Huile,3001,2026-01-01 17:50:23,production-day-2026-01-01.xlsx
PAL-N33T9EFS,1/5,Thon en Morceaux à l'Huile,3002,2026-01-01 12:55:04,production-day-2026-01-01.xlsx
PAL-16ZEPI3R,1/5,Thon en Morceaux à l'Huile,3003,2026-01-01 10:19:27,production-day-2026-01-01.xlsx
PAL-INUVLHRC,1/5,Thon en Morceaux au Naturel,3003,2026-01-01 17:31:40,production-day-2026-01-01.xlsx
PAL-WZBMPWAV,400,Thon en Morceaux à l'Huile,3001,2026-01-01 17:11:38,production-day-2026-01-01.xlsx
PAL-IMBD37VW,5/2 [2],Thon en Morceaux à l'Huile,3003,2026-01-01 13:19:47,production-day-2026-01-01.xlsx
PAL-AAH6G07N,5/2 [2],Thon Entier au Naturel,3001,2026-01-01 16:35:55,production-day-2026-01-01.xlsx
PAL-C3W4Y27K,1/5,Thon en Morceaux à l'Huile,3003,2026-01-01 15:44:59,production-day-2026-01-01.xlsx
PAL-WQLXSA0Q,5/2 [1],Thon Emietté à l'Huile,3001,2026-01-01 14:26:33,production-day-2026-01-01.xlsx
PAL-4D68R89D,5/2 [1],Thon Emietté à la Tomate,3002,2026-01-01 11:01:16,production-day-2026-01-01.xlsx
PAL-WHWMR098,Manuel,Thon Entier au Naturel,3002,2026-01-01 14:23:33,production-day-2026-01-01.xlsx
PAL-80IYQ2SC,1/5,Thon en Morceaux à l'Huile,3003,2026-01-01 15:42:46,production-day-2026-01-01.xlsx
PAL-EMWYE0NA,400,Thon en Morceaux à l'Huile,3003,2026-01-01 09:51:35,production-day-2026-01-01.xlsx
PAL-7DNGQAKP,5/2 [2],Thon Emietté à la Tomate,3001,2026-01-01 09:28:54,production-day-2026-01-01.xlsx
PAL-CKZWQD66,1/5,Thon Entier à l'Huile,3003,2026-01-01 15:52:07,production-day-2026-01-01.xlsx
PAL-44GY0YTH,400,Thon Entier au Naturel,3002,2026-01-01 16:05:59,production-day-2026-01-01.xlsx
PAL-3ZAZJP93,5/2 [1],Thon Emietté à l'Huile,3001,2026-01-01 13:45:26,production-day-2026-01-01.xlsx
PAL-P8GISET8,5/2 [2],Thon Entier au Naturel,3002,2026-01-01 15:08:53,production-day-2026-01-01.xlsx
PAL-AD2MTLW5,1/5,Thon en Morceaux au Naturel,3003,2026-01-01 12:59:49,production-day-2026-01-01.xlsx
PAL-8XENC5T1,400,Thon en Morceaux à l'Huile,3003,2026-01-01 14:30:35,production-day-2026-01-01.xlsx
PAL-7G29HDI9,Manuel,Thon Entier à l'Huile,3002,2026-01-01 13:19:12,production-day-2026-01-01.xlsx
PAL-2RAIKKJ2,5/2 [2],Thon Entier à l'Huile,3003,2026-01-01 11:32:19,production-day-2026-01-01.xlsx
PAL-TE6KXPGX,5/2 [1],Thon en Morceaux au Naturel,3003,2026-01-01 09:26:47,production-day-2026-01-01.xlsx
PAL-CJ5FIMK9,1/5,Thon Entier à l'Huile,3002,2026-01-01 11:32:48,production-day-2026-01-01.xlsx
PAL-V0Y34UVE,400,Thon Entier au Naturel,3001,2026-01-01 11:30:32,production-day-2026-01-01.xlsx
PAL-UMO4RH9Z,400,Thon Entier à l'Huile,3001,2026-01-01 13:26:57,production-day-2026-01-01.xlsx
PAL-5ABKB8LG,5/2 [2],Thon en Morceaux au Naturel,3002,2026-01-01 19:17:03,production-day-2026-01-01.xlsx
PAL-5HNFC63D,Manuel,Thon en Morceaux à l'Huile,3001,2026-01-01 15:03:25,production-day-2026-01-01.xlsx
PAL-JBM78BGZ,5/2 [1],Thon Entier au Naturel,3002,2026-01-01 16:39:51,production-day-2026-01-01.xlsx
PAL-IQTUFT0E,Manuel,Thon en Morceaux à l'Huile,3001,2026-01-01 14:52:28,production-day-2026-01-01.xlsx
PAL-GNOVX9UP,5/2 [1],Thon en Morceaux à l'Huile,3003,2026-01-01 11:41:48,production-day-2026-01-01.xlsx
PAL-BKKANV0I,Manuel,Thon Entier à l'Huile,3002,2026-01-01 11:18:57,production-day-2026-01-01.xlsx
